2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","140","Parramatta","0","ABSENT","0","","","First Preferences","","0","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","993","39.300"
"NSW","140","Parramatta","0","ABSENT","0","","","First Preferences","","0","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","1534","60.700"
"NSW","140","Parramatta","0","ABSENT","41691","CYA","Trumpet of Patriots","LOKE","Ganesh","1","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","71","38.170"
"NSW","140","Parramatta","0","ABSENT","41691","CYA","Trumpet of Patriots","LOKE","Ganesh","1","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","115","61.830"
"NSW","140","Parramatta","0","ABSENT","41872","LTP","Libertarian Party","SOMERSON","Ben","2","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","53","59.550"
"NSW","140","Parramatta","0","ABSENT","41872","LTP","Libertarian Party","SOMERSON","Ben","2","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","36","40.450"
"NSW","140","Parramatta","0","ABSENT","41631","GRN","The Greens NSW","TILLY","Liz","3","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","575","87.520"
"NSW","140","Parramatta","0","ABSENT","41631","GRN","The Greens NSW","TILLY","Liz","3","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","82","12.480"
"NSW","140","Parramatta","0","ABSENT","42020","IND","Independent","QUINN","Tanya-lee","4","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","61","68.540"
"NSW","140","Parramatta","0","ABSENT","42020","IND","Independent","QUINN","Tanya-lee","4","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","28","31.460"
"NSW","140","Parramatta","0","ABSENT","40610","IND","Independent","MALINI","Maa","6","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","51","68.000"
"NSW","140","Parramatta","0","ABSENT","40610","IND","Independent","MALINI","Maa","6","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","24","32.000"
"NSW","140","Parramatta","0","ABSENT","41899","ON","Pauline Hanson's One Nation","MATZEN","Nicholas","8","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","46","27.380"
"NSW","140","Parramatta","0","ABSENT","41899","ON","Pauline Hanson's One Nation","MATZEN","Nicholas","8","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","122","72.620"
"NSW","140","Parramatta","0","POSTAL","0","","","First Preferences","","0","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","5277","44.600"
"NSW","140","Parramatta","0","POSTAL","0","","","First Preferences","","0","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","6556","55.400"
"NSW","140","Parramatta","0","POSTAL","41691","CYA","Trumpet of Patriots","LOKE","Ganesh","1","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","142","42.140"
"NSW","140","Parramatta","0","POSTAL","41691","CYA","Trumpet of Patriots","LOKE","Ganesh","1","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","195","57.860"
"NSW","140","Parramatta","0","POSTAL","41872","LTP","Libertarian Party","SOMERSON","Ben","2","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","48","26.090"
"NSW","140","Parramatta","0","POSTAL","41872","LTP","Libertarian Party","SOMERSON","Ben","2","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","136","73.910"
"NSW","140","Parramatta","0","POSTAL","41631","GRN","The Greens NSW","TILLY","Liz","3","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","1236","87.850"
"NSW","140","Parramatta","0","POSTAL","41631","GRN","The Greens NSW","TILLY","Liz","3","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","171","12.150"
"NSW","140","Parramatta","0","POSTAL","42020","IND","Independent","QUINN","Tanya-lee","4","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","187","62.330"
"NSW","140","Parramatta","0","POSTAL","42020","IND","Independent","QUINN","Tanya-lee","4","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","113","37.670"
"NSW","140","Parramatta","0","POSTAL","40610","IND","Independent","MALINI","Maa","6","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","76","60.320"
"NSW","140","Parramatta","0","POSTAL","40610","IND","Independent","MALINI","Maa","6","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","50","39.680"
"NSW","140","Parramatta","0","POSTAL","41899","ON","Pauline Hanson's One Nation","MATZEN","Nicholas","8","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","110","20.910"
"NSW","140","Parramatta","0","POSTAL","41899","ON","Pauline Hanson's One Nation","MATZEN","Nicholas","8","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","416","79.090"
"NSW","140","Parramatta","0","PRE_POLL","0","","","First Preferences","","0","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","832","36.800"
"NSW","140","Parramatta","0","PRE_POLL","0","","","First Preferences","","0","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","1429","63.200"
"NSW","140","Parramatta","0","PRE_POLL","41691","CYA","Trumpet of Patriots","LOKE","Ganesh","1","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","76","56.300"
"NSW","140","Parramatta","0","PRE_POLL","41691","CYA","Trumpet of Patriots","LOKE","Ganesh","1","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","59","43.700"
"NSW","140","Parramatta","0","PRE_POLL","41872","LTP","Libertarian Party","SOMERSON","Ben","2","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","29","45.310"
"NSW","140","Parramatta","0","PRE_POLL","41872","LTP","Libertarian Party","SOMERSON","Ben","2","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","35","54.690"
"NSW","140","Parramatta","0","PRE_POLL","41631","GRN","The Greens NSW","TILLY","Liz","3","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","371","86.080"
"NSW","140","Parramatta","0","PRE_POLL","41631","GRN","The Greens NSW","TILLY","Liz","3","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","60","13.920"
"NSW","140","Parramatta","0","PRE_POLL","42020","IND","Independent","QUINN","Tanya-lee","4","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","42","56.000"
"NSW","140","Parramatta","0","PRE_POLL","42020","IND","Independent","QUINN","Tanya-lee","4","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","33","44.000"
"NSW","140","Parramatta","0","PRE_POLL","40610","IND","Independent","MALINI","Maa","6","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","32","65.310"
"NSW","140","Parramatta","0","PRE_POLL","40610","IND","Independent","MALINI","Maa","6","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","17","34.690"
"NSW","140","Parramatta","0","PRE_POLL","41899","ON","Pauline Hanson's One Nation","MATZEN","Nicholas","8","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","35","28.460"
"NSW","140","Parramatta","0","PRE_POLL","41899","ON","Pauline Hanson's One Nation","MATZEN","Nicholas","8","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","88","71.540"
"NSW","140","Parramatta","0","PROVISIONAL","0","","","First Preferences","","0","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","24","34.290"
"NSW","140","Parramatta","0","PROVISIONAL","0","","","First Preferences","","0","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","46","65.710"
"NSW","140","Parramatta","0","PROVISIONAL","41691","CYA","Trumpet of Patriots","LOKE","Ganesh","1","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","1","100.000"
"NSW","140","Parramatta","0","PROVISIONAL","41691","CYA","Trumpet of Patriots","LOKE","Ganesh","1","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","0","0.000"
"NSW","140","Parramatta","0","PROVISIONAL","41872","LTP","Libertarian Party","SOMERSON","Ben","2","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","2","100.000"
"NSW","140","Parramatta","0","PROVISIONAL","41872","LTP","Libertarian Party","SOMERSON","Ben","2","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","0","0.000"
"NSW","140","Parramatta","0","PROVISIONAL","41631","GRN","The Greens NSW","TILLY","Liz","3","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","18","75.000"
"NSW","140","Parramatta","0","PROVISIONAL","41631","GRN","The Greens NSW","TILLY","Liz","3","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","6","25.000"
"NSW","140","Parramatta","0","PROVISIONAL","42020","IND","Independent","QUINN","Tanya-lee","4","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","0","0.000"
"NSW","140","Parramatta","0","PROVISIONAL","42020","IND","Independent","QUINN","Tanya-lee","4","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","0","0.000"
"NSW","140","Parramatta","0","PROVISIONAL","40610","IND","Independent","MALINI","Maa","6","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","1","100.000"
"NSW","140","Parramatta","0","PROVISIONAL","40610","IND","Independent","MALINI","Maa","6","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","0","0.000"
"NSW","140","Parramatta","0","PROVISIONAL","41899","ON","Pauline Hanson's One Nation","MATZEN","Nicholas","8","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","0","0.000"
"NSW","140","Parramatta","0","PROVISIONAL","41899","ON","Pauline Hanson's One Nation","MATZEN","Nicholas","8","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","5","100.000"
"NSW","140","Parramatta","635","Carlingford North","0","","","First Preferences","","0","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","605","45.220"
"NSW","140","Parramatta","635","Carlingford North","0","","","First Preferences","","0","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","733","54.780"
"NSW","140","Parramatta","635","Carlingford North","41691","CYA","Trumpet of Patriots","LOKE","Ganesh","1","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","14","63.640"
"NSW","140","Parramatta","635","Carlingford North","41691","CYA","Trumpet of Patriots","LOKE","Ganesh","1","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","8","36.360"
"NSW","140","Parramatta","635","Carlingford North","41872","LTP","Libertarian Party","SOMERSON","Ben","2","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","33","97.060"
"NSW","140","Parramatta","635","Carlingford North","41872","LTP","Libertarian Party","SOMERSON","Ben","2","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","1","2.940"
"NSW","140","Parramatta","635","Carlingford North","41631","GRN","The Greens NSW","TILLY","Liz","3","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","22","14.770"
"NSW","140","Parramatta","635","Carlingford North","41631","GRN","The Greens NSW","TILLY","Liz","3","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","127","85.230"
"NSW","140","Parramatta","635","Carlingford North","42020","IND","Independent","QUINN","Tanya-lee","4","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","4","40.000"
"NSW","140","Parramatta","635","Carlingford North","42020","IND","Independent","QUINN","Tanya-lee","4","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","6","60.000"
"NSW","140","Parramatta","635","Carlingford North","40610","IND","Independent","MALINI","Maa","6","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","6","46.150"
"NSW","140","Parramatta","635","Carlingford North","40610","IND","Independent","MALINI","Maa","6","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","7","53.850"
"NSW","140","Parramatta","635","Carlingford North","41899","ON","Pauline Hanson's One Nation","MATZEN","Nicholas","8","41483","LP","Liberal Party of Australia, NSW Division","MULLENS","Katie","7","29","80.560"
"NSW","140","Parramatta","635","Carlingford North","41899","ON","Pauline Hanson's One Nation","MATZEN","Nicholas","8","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","7","19.440"
"NSW","140","Parramatta","636","Carlingford South","0","","","First Preferences","","0","41424","ALP","Australian Labor Party (N.S.W. Branch)","CHARLTON","Andrew","5","691","66.190"
