2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","146","Robertson","0","ABSENT","0","","","First Preferences","","0","41491","LP","Liberal Party of Australia, NSW Division","WICKS","Lucy","3","682","41.460"
"NSW","146","Robertson","0","ABSENT","0","","","First Preferences","","0","41417","ALP","Australian Labor Party (N.S.W. Branch)","REID","Gordon","7","963","58.540"
"NSW","146","Robertson","0","ABSENT","41903","ON","Pauline Hanson's One Nation","LLOYD","Matt","1","41491","LP","Liberal Party of Australia, NSW Division","WICKS","Lucy","3","239","79.670"
"NSW","146","Robertson","0","ABSENT","41903","ON","Pauline Hanson's One Nation","LLOYD","Matt","1","41417","ALP","Australian Labor Party (N.S.W. Branch)","REID","Gordon","7","61","20.330"
"NSW","146","Robertson","0","ABSENT","41635","GRN","The Greens NSW","WALLACE","Cheryl","2","41491","LP","Liberal Party of Australia, NSW Division","WICKS","Lucy","3","77","17.380"
"NSW","146","Robertson","0","ABSENT","41635","GRN","The Greens NSW","WALLACE","Cheryl","2","41417","ALP","Australian Labor Party (N.S.W. Branch)","REID","Gordon","7","366","82.620"
"NSW","146","Robertson","0","ABSENT","41926","HMP","Legalise Cannabis Australia","LILLICRAP","Tom","4","41417","ALP","Australian Labor Party (N.S.W. Branch)","REID","Gordon","7","131","54.130"
"NSW","146","Robertson","0","ABSENT","41926","HMP","Legalise Cannabis Australia","LILLICRAP","Tom","4","41491","LP","Liberal Party of Australia, NSW Division","WICKS","Lucy","3","111","45.870"
"NSW","146","Robertson","0","ABSENT","40729","IND","Independent","BELLAMY","Lisa","5","41491","LP","Liberal Party of Australia, NSW Division","WICKS","Lucy","3","47","39.830"
"NSW","146","Robertson","0","ABSENT","40729","IND","Independent","BELLAMY","Lisa","5","41417","ALP","Australian Labor Party (N.S.W. Branch)","REID","Gordon","7","71","60.170"
