2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","149","Sydney","0","ABSENT","0","","","First Preferences","","0","41638","GRN","The Greens NSW","VELEZ","Luc","5","1502","35.210"
"NSW","149","Sydney","0","ABSENT","0","","","First Preferences","","0","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","2764","64.790"
"NSW","149","Sydney","0","ABSENT","41984","SAL","Socialist Alliance","EVANS","Rachel","2","41638","GRN","The Greens NSW","VELEZ","Luc","5","106","77.370"
"NSW","149","Sydney","0","ABSENT","41984","SAL","Socialist Alliance","EVANS","Rachel","2","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","31","22.630"
"NSW","149","Sydney","0","ABSENT","41561","LP","Liberal Party of Australia, NSW Division","XU","Alex","3","41638","GRN","The Greens NSW","VELEZ","Luc","5","378","36.210"
"NSW","149","Sydney","0","ABSENT","41561","LP","Liberal Party of Australia, NSW Division","XU","Alex","3","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","666","63.790"
"NSW","149","Sydney","0","ABSENT","41910","ON","Pauline Hanson's One Nation","TORBARAC","Vedran","4","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","162","64.290"
"NSW","149","Sydney","0","ABSENT","41910","ON","Pauline Hanson's One Nation","TORBARAC","Vedran","4","41638","GRN","The Greens NSW","VELEZ","Luc","5","90","35.710"
"NSW","149","Sydney","0","POSTAL","0","","","First Preferences","","0","41638","GRN","The Greens NSW","VELEZ","Luc","5","1822","23.220"
"NSW","149","Sydney","0","POSTAL","0","","","First Preferences","","0","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","6025","76.780"
"NSW","149","Sydney","0","POSTAL","41984","SAL","Socialist Alliance","EVANS","Rachel","2","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","50","26.180"
"NSW","149","Sydney","0","POSTAL","41984","SAL","Socialist Alliance","EVANS","Rachel","2","41638","GRN","The Greens NSW","VELEZ","Luc","5","141","73.820"
"NSW","149","Sydney","0","POSTAL","41561","LP","Liberal Party of Australia, NSW Division","XU","Alex","3","41638","GRN","The Greens NSW","VELEZ","Luc","5","722","30.630"
"NSW","149","Sydney","0","POSTAL","41561","LP","Liberal Party of Australia, NSW Division","XU","Alex","3","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","1635","69.370"
"NSW","149","Sydney","0","POSTAL","41910","ON","Pauline Hanson's One Nation","TORBARAC","Vedran","4","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","300","71.940"
"NSW","149","Sydney","0","POSTAL","41910","ON","Pauline Hanson's One Nation","TORBARAC","Vedran","4","41638","GRN","The Greens NSW","VELEZ","Luc","5","117","28.060"
"NSW","149","Sydney","0","PRE_POLL","0","","","First Preferences","","0","41638","GRN","The Greens NSW","VELEZ","Luc","5","1328","29.990"
"NSW","149","Sydney","0","PRE_POLL","0","","","First Preferences","","0","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","3100","70.010"
"NSW","149","Sydney","0","PRE_POLL","41984","SAL","Socialist Alliance","EVANS","Rachel","2","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","40","31.010"
"NSW","149","Sydney","0","PRE_POLL","41984","SAL","Socialist Alliance","EVANS","Rachel","2","41638","GRN","The Greens NSW","VELEZ","Luc","5","89","68.990"
"NSW","149","Sydney","0","PRE_POLL","41561","LP","Liberal Party of Australia, NSW Division","XU","Alex","3","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","767","65.670"
"NSW","149","Sydney","0","PRE_POLL","41561","LP","Liberal Party of Australia, NSW Division","XU","Alex","3","41638","GRN","The Greens NSW","VELEZ","Luc","5","401","34.330"
"NSW","149","Sydney","0","PRE_POLL","41910","ON","Pauline Hanson's One Nation","TORBARAC","Vedran","4","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","137","61.990"
"NSW","149","Sydney","0","PRE_POLL","41910","ON","Pauline Hanson's One Nation","TORBARAC","Vedran","4","41638","GRN","The Greens NSW","VELEZ","Luc","5","84","38.010"
"NSW","149","Sydney","0","PROVISIONAL","0","","","First Preferences","","0","41638","GRN","The Greens NSW","VELEZ","Luc","5","39","28.060"
"NSW","149","Sydney","0","PROVISIONAL","0","","","First Preferences","","0","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","100","71.940"
"NSW","149","Sydney","0","PROVISIONAL","41984","SAL","Socialist Alliance","EVANS","Rachel","2","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","5","55.560"
"NSW","149","Sydney","0","PROVISIONAL","41984","SAL","Socialist Alliance","EVANS","Rachel","2","41638","GRN","The Greens NSW","VELEZ","Luc","5","4","44.440"
"NSW","149","Sydney","0","PROVISIONAL","41561","LP","Liberal Party of Australia, NSW Division","XU","Alex","3","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","12","66.670"
"NSW","149","Sydney","0","PROVISIONAL","41561","LP","Liberal Party of Australia, NSW Division","XU","Alex","3","41638","GRN","The Greens NSW","VELEZ","Luc","5","6","33.330"
"NSW","149","Sydney","0","PROVISIONAL","41910","ON","Pauline Hanson's One Nation","TORBARAC","Vedran","4","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","3","60.000"
"NSW","149","Sydney","0","PROVISIONAL","41910","ON","Pauline Hanson's One Nation","TORBARAC","Vedran","4","41638","GRN","The Greens NSW","VELEZ","Luc","5","2","40.000"
"NSW","149","Sydney","1433","Alexandria","0","","","First Preferences","","0","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","557","66.550"
"NSW","149","Sydney","1433","Alexandria","0","","","First Preferences","","0","41638","GRN","The Greens NSW","VELEZ","Luc","5","280","33.450"
"NSW","149","Sydney","1433","Alexandria","41984","SAL","Socialist Alliance","EVANS","Rachel","2","41638","GRN","The Greens NSW","VELEZ","Luc","5","21","80.770"
"NSW","149","Sydney","1433","Alexandria","41984","SAL","Socialist Alliance","EVANS","Rachel","2","41342","ALP","Australian Labor Party (N.S.W. Branch)","PLIBERSEK","Tanya","1","5","19.230"
