2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","151","Warringah","0","ABSENT","0","","","First Preferences","","0","32467","IND","Independent","STEGGALL","Zali","1","1194","55.460"
"NSW","151","Warringah","0","ABSENT","0","","","First Preferences","","0","41500","LP","Liberal Party of Australia, NSW Division","ROGERS","Jaimee","7","959","44.540"
"NSW","151","Warringah","0","ABSENT","41341","ALP","Australian Labor Party (N.S.W. Branch)","VARGHESE-FELL","Celine","2","32467","IND","Independent","STEGGALL","Zali","1","605","77.860"
"NSW","151","Warringah","0","ABSENT","41341","ALP","Australian Labor Party (N.S.W. Branch)","VARGHESE-FELL","Celine","2","41500","LP","Liberal Party of Australia, NSW Division","ROGERS","Jaimee","7","172","22.140"
"NSW","151","Warringah","0","ABSENT","41685","CYA","Trumpet of Patriots","ROSE","Anthony","3","32467","IND","Independent","STEGGALL","Zali","1","41","46.070"
"NSW","151","Warringah","0","ABSENT","41685","CYA","Trumpet of Patriots","ROSE","Anthony","3","41500","LP","Liberal Party of Australia, NSW Division","ROGERS","Jaimee","7","48","53.930"
"NSW","151","Warringah","0","ABSENT","40624","IND","Independent","SPRATT","David Michael","4","41500","LP","Liberal Party of Australia, NSW Division","ROGERS","Jaimee","7","17","38.640"
"NSW","151","Warringah","0","ABSENT","40624","IND","Independent","SPRATT","David Michael","4","32467","IND","Independent","STEGGALL","Zali","1","27","61.360"
"NSW","151","Warringah","0","ABSENT","41842","LTP","Libertarian Party","McLEOD","Sean","5","32467","IND","Independent","STEGGALL","Zali","1","28","32.560"
"NSW","151","Warringah","0","ABSENT","41842","LTP","Libertarian Party","McLEOD","Sean","5","41500","LP","Liberal Party of Australia, NSW Division","ROGERS","Jaimee","7","58","67.440"
