2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","152","Wentworth","0","ABSENT","0","","","First Preferences","","0","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","843","48.640"
"NSW","152","Wentworth","0","ABSENT","0","","","First Preferences","","0","37451","IND","Independent","SPENDER","Allegra","6","890","51.360"
"NSW","152","Wentworth","0","ABSENT","41967","IND","Independent","RICHMOND","Michael","1","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","38","47.500"
"NSW","152","Wentworth","0","ABSENT","41967","IND","Independent","RICHMOND","Michael","1","37451","IND","Independent","SPENDER","Allegra","6","42","52.500"
"NSW","152","Wentworth","0","ABSENT","41532","GRN","The Greens NSW","WARD","Nick","2","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","75","11.760"
"NSW","152","Wentworth","0","ABSENT","41532","GRN","The Greens NSW","WARD","Nick","2","37451","IND","Independent","SPENDER","Allegra","6","563","88.240"
"NSW","152","Wentworth","0","ABSENT","41912","ON","Pauline Hanson's One Nation","STERNHELL","James","3","37451","IND","Independent","SPENDER","Allegra","6","39","26.710"
"NSW","152","Wentworth","0","ABSENT","41912","ON","Pauline Hanson's One Nation","STERNHELL","James","3","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","107","73.290"
"NSW","152","Wentworth","0","ABSENT","41326","ALP","Australian Labor Party (N.S.W. Branch)","PEAKE","Savanna","5","37451","IND","Independent","SPENDER","Allegra","6","572","76.370"
"NSW","152","Wentworth","0","ABSENT","41326","ALP","Australian Labor Party (N.S.W. Branch)","PEAKE","Savanna","5","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","177","23.630"
"NSW","152","Wentworth","0","POSTAL","0","","","First Preferences","","0","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","6058","60.660"
"NSW","152","Wentworth","0","POSTAL","0","","","First Preferences","","0","37451","IND","Independent","SPENDER","Allegra","6","3929","39.340"
"NSW","152","Wentworth","0","POSTAL","41967","IND","Independent","RICHMOND","Michael","1","37451","IND","Independent","SPENDER","Allegra","6","79","58.090"
"NSW","152","Wentworth","0","POSTAL","41967","IND","Independent","RICHMOND","Michael","1","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","57","41.910"
"NSW","152","Wentworth","0","POSTAL","41532","GRN","The Greens NSW","WARD","Nick","2","37451","IND","Independent","SPENDER","Allegra","6","852","91.810"
"NSW","152","Wentworth","0","POSTAL","41532","GRN","The Greens NSW","WARD","Nick","2","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","76","8.190"
"NSW","152","Wentworth","0","POSTAL","41912","ON","Pauline Hanson's One Nation","STERNHELL","James","3","37451","IND","Independent","SPENDER","Allegra","6","80","27.030"
"NSW","152","Wentworth","0","POSTAL","41912","ON","Pauline Hanson's One Nation","STERNHELL","James","3","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","216","72.970"
"NSW","152","Wentworth","0","POSTAL","41326","ALP","Australian Labor Party (N.S.W. Branch)","PEAKE","Savanna","5","37451","IND","Independent","SPENDER","Allegra","6","1174","82.330"
"NSW","152","Wentworth","0","POSTAL","41326","ALP","Australian Labor Party (N.S.W. Branch)","PEAKE","Savanna","5","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","252","17.670"
"NSW","152","Wentworth","0","PRE_POLL","0","","","First Preferences","","0","37451","IND","Independent","SPENDER","Allegra","6","1878","55.580"
"NSW","152","Wentworth","0","PRE_POLL","0","","","First Preferences","","0","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","1501","44.420"
"NSW","152","Wentworth","0","PRE_POLL","41967","IND","Independent","RICHMOND","Michael","1","37451","IND","Independent","SPENDER","Allegra","6","48","66.670"
"NSW","152","Wentworth","0","PRE_POLL","41967","IND","Independent","RICHMOND","Michael","1","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","24","33.330"
"NSW","152","Wentworth","0","PRE_POLL","41532","GRN","The Greens NSW","WARD","Nick","2","37451","IND","Independent","SPENDER","Allegra","6","718","91.120"
"NSW","152","Wentworth","0","PRE_POLL","41532","GRN","The Greens NSW","WARD","Nick","2","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","70","8.880"
"NSW","152","Wentworth","0","PRE_POLL","41912","ON","Pauline Hanson's One Nation","STERNHELL","James","3","37451","IND","Independent","SPENDER","Allegra","6","37","26.620"
"NSW","152","Wentworth","0","PRE_POLL","41912","ON","Pauline Hanson's One Nation","STERNHELL","James","3","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","102","73.380"
"NSW","152","Wentworth","0","PRE_POLL","41326","ALP","Australian Labor Party (N.S.W. Branch)","PEAKE","Savanna","5","37451","IND","Independent","SPENDER","Allegra","6","780","78.390"
"NSW","152","Wentworth","0","PRE_POLL","41326","ALP","Australian Labor Party (N.S.W. Branch)","PEAKE","Savanna","5","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","215","21.610"
"NSW","152","Wentworth","0","PROVISIONAL","0","","","First Preferences","","0","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","71","50.000"
"NSW","152","Wentworth","0","PROVISIONAL","0","","","First Preferences","","0","37451","IND","Independent","SPENDER","Allegra","6","71","50.000"
"NSW","152","Wentworth","0","PROVISIONAL","41967","IND","Independent","RICHMOND","Michael","1","37451","IND","Independent","SPENDER","Allegra","6","1","33.330"
"NSW","152","Wentworth","0","PROVISIONAL","41967","IND","Independent","RICHMOND","Michael","1","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","2","66.670"
"NSW","152","Wentworth","0","PROVISIONAL","41532","GRN","The Greens NSW","WARD","Nick","2","37451","IND","Independent","SPENDER","Allegra","6","15","88.240"
"NSW","152","Wentworth","0","PROVISIONAL","41532","GRN","The Greens NSW","WARD","Nick","2","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","2","11.760"
"NSW","152","Wentworth","0","PROVISIONAL","41912","ON","Pauline Hanson's One Nation","STERNHELL","James","3","37451","IND","Independent","SPENDER","Allegra","6","1","16.670"
"NSW","152","Wentworth","0","PROVISIONAL","41912","ON","Pauline Hanson's One Nation","STERNHELL","James","3","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","5","83.330"
"NSW","152","Wentworth","0","PROVISIONAL","41326","ALP","Australian Labor Party (N.S.W. Branch)","PEAKE","Savanna","5","37451","IND","Independent","SPENDER","Allegra","6","27","90.000"
"NSW","152","Wentworth","0","PROVISIONAL","41326","ALP","Australian Labor Party (N.S.W. Branch)","PEAKE","Savanna","5","41497","LP","Liberal Party of Australia, NSW Division","KNOX","Ro","4","3","10.000"
