2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","153","Werriwa","0","ABSENT","0","","","First Preferences","","0","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","601","38.090"
"NSW","153","Werriwa","0","ABSENT","0","","","First Preferences","","0","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","977","61.910"
"NSW","153","Werriwa","0","ABSENT","41648","GRN","The Greens NSW","CASTLE","Janet Rebecca","1","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","86","21.720"
"NSW","153","Werriwa","0","ABSENT","41648","GRN","The Greens NSW","CASTLE","Janet Rebecca","1","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","310","78.280"
"NSW","153","Werriwa","0","ABSENT","41827","FFPA","Family First Party Australia","BALESTRI","Jacob","3","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","64","51.200"
"NSW","153","Werriwa","0","ABSENT","41827","FFPA","Family First Party Australia","BALESTRI","Jacob","3","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","61","48.800"
"NSW","153","Werriwa","0","ABSENT","41994","IND","Independent","DAOUD","Jamal","4","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","42","40.000"
"NSW","153","Werriwa","0","ABSENT","41994","IND","Independent","DAOUD","Jamal","4","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","63","60.000"
"NSW","153","Werriwa","0","ABSENT","41935","HMP","Legalise Cannabis Australia","MURPHY","Andrew Charles","6","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","126","59.720"
"NSW","153","Werriwa","0","ABSENT","41935","HMP","Legalise Cannabis Australia","MURPHY","Andrew Charles","6","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","85","40.280"
"NSW","153","Werriwa","0","ABSENT","41918","ON","Pauline Hanson's One Nation","CIMERA","Ian","7","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","37","29.130"
"NSW","153","Werriwa","0","ABSENT","41918","ON","Pauline Hanson's One Nation","CIMERA","Ian","7","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","90","70.870"
"NSW","153","Werriwa","0","ABSENT","41679","CYA","Trumpet of Patriots","McGLONE","Shannon Grant","8","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","35","42.680"
"NSW","153","Werriwa","0","ABSENT","41679","CYA","Trumpet of Patriots","McGLONE","Shannon Grant","8","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","47","57.320"
"NSW","153","Werriwa","0","ABSENT","41887","LTP","Libertarian Party","NOIOSI","Gemma","9","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","15","25.000"
"NSW","153","Werriwa","0","ABSENT","41887","LTP","Libertarian Party","NOIOSI","Gemma","9","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","45","75.000"
"NSW","153","Werriwa","0","POSTAL","0","","","First Preferences","","0","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","3362","41.520"
"NSW","153","Werriwa","0","POSTAL","0","","","First Preferences","","0","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","4736","58.480"
"NSW","153","Werriwa","0","POSTAL","41648","GRN","The Greens NSW","CASTLE","Janet Rebecca","1","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","811","80.620"
"NSW","153","Werriwa","0","POSTAL","41648","GRN","The Greens NSW","CASTLE","Janet Rebecca","1","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","195","19.380"
"NSW","153","Werriwa","0","POSTAL","41827","FFPA","Family First Party Australia","BALESTRI","Jacob","3","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","124","50.820"
"NSW","153","Werriwa","0","POSTAL","41827","FFPA","Family First Party Australia","BALESTRI","Jacob","3","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","120","49.180"
"NSW","153","Werriwa","0","POSTAL","41994","IND","Independent","DAOUD","Jamal","4","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","150","58.370"
"NSW","153","Werriwa","0","POSTAL","41994","IND","Independent","DAOUD","Jamal","4","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","107","41.630"
"NSW","153","Werriwa","0","POSTAL","41935","HMP","Legalise Cannabis Australia","MURPHY","Andrew Charles","6","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","222","63.980"
"NSW","153","Werriwa","0","POSTAL","41935","HMP","Legalise Cannabis Australia","MURPHY","Andrew Charles","6","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","125","36.020"
"NSW","153","Werriwa","0","POSTAL","41918","ON","Pauline Hanson's One Nation","CIMERA","Ian","7","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","226","33.680"
"NSW","153","Werriwa","0","POSTAL","41918","ON","Pauline Hanson's One Nation","CIMERA","Ian","7","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","445","66.320"
"NSW","153","Werriwa","0","POSTAL","41679","CYA","Trumpet of Patriots","McGLONE","Shannon Grant","8","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","126","45.820"
"NSW","153","Werriwa","0","POSTAL","41679","CYA","Trumpet of Patriots","McGLONE","Shannon Grant","8","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","149","54.180"
"NSW","153","Werriwa","0","POSTAL","41887","LTP","Libertarian Party","NOIOSI","Gemma","9","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","87","28.810"
"NSW","153","Werriwa","0","POSTAL","41887","LTP","Libertarian Party","NOIOSI","Gemma","9","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","215","71.190"
"NSW","153","Werriwa","0","PRE_POLL","0","","","First Preferences","","0","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","886","62.180"
"NSW","153","Werriwa","0","PRE_POLL","0","","","First Preferences","","0","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","539","37.820"
"NSW","153","Werriwa","0","PRE_POLL","41648","GRN","The Greens NSW","CASTLE","Janet Rebecca","1","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","233","80.900"
"NSW","153","Werriwa","0","PRE_POLL","41648","GRN","The Greens NSW","CASTLE","Janet Rebecca","1","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","55","19.100"
"NSW","153","Werriwa","0","PRE_POLL","41827","FFPA","Family First Party Australia","BALESTRI","Jacob","3","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","31","49.210"
"NSW","153","Werriwa","0","PRE_POLL","41827","FFPA","Family First Party Australia","BALESTRI","Jacob","3","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","32","50.790"
"NSW","153","Werriwa","0","PRE_POLL","41994","IND","Independent","DAOUD","Jamal","4","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","45","60.810"
"NSW","153","Werriwa","0","PRE_POLL","41994","IND","Independent","DAOUD","Jamal","4","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","29","39.190"
"NSW","153","Werriwa","0","PRE_POLL","41935","HMP","Legalise Cannabis Australia","MURPHY","Andrew Charles","6","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","54","61.360"
"NSW","153","Werriwa","0","PRE_POLL","41935","HMP","Legalise Cannabis Australia","MURPHY","Andrew Charles","6","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","34","38.640"
"NSW","153","Werriwa","0","PRE_POLL","41918","ON","Pauline Hanson's One Nation","CIMERA","Ian","7","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","49","42.980"
"NSW","153","Werriwa","0","PRE_POLL","41918","ON","Pauline Hanson's One Nation","CIMERA","Ian","7","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","65","57.020"
"NSW","153","Werriwa","0","PRE_POLL","41679","CYA","Trumpet of Patriots","McGLONE","Shannon Grant","8","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","17","42.500"
"NSW","153","Werriwa","0","PRE_POLL","41679","CYA","Trumpet of Patriots","McGLONE","Shannon Grant","8","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","23","57.500"
"NSW","153","Werriwa","0","PRE_POLL","41887","LTP","Libertarian Party","NOIOSI","Gemma","9","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","21","38.180"
"NSW","153","Werriwa","0","PRE_POLL","41887","LTP","Libertarian Party","NOIOSI","Gemma","9","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","34","61.820"
"NSW","153","Werriwa","0","PROVISIONAL","0","","","First Preferences","","0","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","16","51.610"
"NSW","153","Werriwa","0","PROVISIONAL","0","","","First Preferences","","0","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","15","48.390"
"NSW","153","Werriwa","0","PROVISIONAL","41648","GRN","The Greens NSW","CASTLE","Janet Rebecca","1","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","9","69.230"
"NSW","153","Werriwa","0","PROVISIONAL","41648","GRN","The Greens NSW","CASTLE","Janet Rebecca","1","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","4","30.770"
"NSW","153","Werriwa","0","PROVISIONAL","41827","FFPA","Family First Party Australia","BALESTRI","Jacob","3","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","0","0.000"
"NSW","153","Werriwa","0","PROVISIONAL","41827","FFPA","Family First Party Australia","BALESTRI","Jacob","3","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","1","100.000"
"NSW","153","Werriwa","0","PROVISIONAL","41994","IND","Independent","DAOUD","Jamal","4","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","1","100.000"
"NSW","153","Werriwa","0","PROVISIONAL","41994","IND","Independent","DAOUD","Jamal","4","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","0","0.000"
"NSW","153","Werriwa","0","PROVISIONAL","41935","HMP","Legalise Cannabis Australia","MURPHY","Andrew Charles","6","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","2","50.000"
"NSW","153","Werriwa","0","PROVISIONAL","41935","HMP","Legalise Cannabis Australia","MURPHY","Andrew Charles","6","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","2","50.000"
"NSW","153","Werriwa","0","PROVISIONAL","41918","ON","Pauline Hanson's One Nation","CIMERA","Ian","7","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","0","0.000"
"NSW","153","Werriwa","0","PROVISIONAL","41918","ON","Pauline Hanson's One Nation","CIMERA","Ian","7","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","3","100.000"
"NSW","153","Werriwa","0","PROVISIONAL","41679","CYA","Trumpet of Patriots","McGLONE","Shannon Grant","8","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","0","0.000"
"NSW","153","Werriwa","0","PROVISIONAL","41679","CYA","Trumpet of Patriots","McGLONE","Shannon Grant","8","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","1","100.000"
"NSW","153","Werriwa","0","PROVISIONAL","41887","LTP","Libertarian Party","NOIOSI","Gemma","9","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","0","0.000"
"NSW","153","Werriwa","0","PROVISIONAL","41887","LTP","Libertarian Party","NOIOSI","Gemma","9","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","5","100.000"
"NSW","153","Werriwa","862","Ashcroft","0","","","First Preferences","","0","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","138","30.600"
"NSW","153","Werriwa","862","Ashcroft","0","","","First Preferences","","0","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","313","69.400"
"NSW","153","Werriwa","862","Ashcroft","41648","GRN","The Greens NSW","CASTLE","Janet Rebecca","1","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","16","18.820"
"NSW","153","Werriwa","862","Ashcroft","41648","GRN","The Greens NSW","CASTLE","Janet Rebecca","1","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","69","81.180"
"NSW","153","Werriwa","862","Ashcroft","41827","FFPA","Family First Party Australia","BALESTRI","Jacob","3","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","2","28.570"
"NSW","153","Werriwa","862","Ashcroft","41827","FFPA","Family First Party Australia","BALESTRI","Jacob","3","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","5","71.430"
"NSW","153","Werriwa","862","Ashcroft","41994","IND","Independent","DAOUD","Jamal","4","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","5","29.410"
"NSW","153","Werriwa","862","Ashcroft","41994","IND","Independent","DAOUD","Jamal","4","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","12","70.590"
"NSW","153","Werriwa","862","Ashcroft","41935","HMP","Legalise Cannabis Australia","MURPHY","Andrew Charles","6","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","13","35.140"
"NSW","153","Werriwa","862","Ashcroft","41935","HMP","Legalise Cannabis Australia","MURPHY","Andrew Charles","6","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","24","64.860"
"NSW","153","Werriwa","862","Ashcroft","41918","ON","Pauline Hanson's One Nation","CIMERA","Ian","7","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","17","68.000"
"NSW","153","Werriwa","862","Ashcroft","41918","ON","Pauline Hanson's One Nation","CIMERA","Ian","7","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","8","32.000"
"NSW","153","Werriwa","862","Ashcroft","41679","CYA","Trumpet of Patriots","McGLONE","Shannon Grant","8","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","8","40.000"
"NSW","153","Werriwa","862","Ashcroft","41679","CYA","Trumpet of Patriots","McGLONE","Shannon Grant","8","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","12","60.000"
"NSW","153","Werriwa","862","Ashcroft","41887","LTP","Libertarian Party","NOIOSI","Gemma","9","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","5","71.430"
"NSW","153","Werriwa","862","Ashcroft","41887","LTP","Libertarian Party","NOIOSI","Gemma","9","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","2","28.570"
"NSW","153","Werriwa","863","Austral","0","","","First Preferences","","0","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","655","58.220"
"NSW","153","Werriwa","863","Austral","0","","","First Preferences","","0","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","470","41.780"
"NSW","153","Werriwa","863","Austral","41648","GRN","The Greens NSW","CASTLE","Janet Rebecca","1","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","70","32.410"
"NSW","153","Werriwa","863","Austral","41648","GRN","The Greens NSW","CASTLE","Janet Rebecca","1","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","146","67.590"
"NSW","153","Werriwa","863","Austral","41827","FFPA","Family First Party Australia","BALESTRI","Jacob","3","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","9","39.130"
"NSW","153","Werriwa","863","Austral","41827","FFPA","Family First Party Australia","BALESTRI","Jacob","3","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","14","60.870"
"NSW","153","Werriwa","863","Austral","41994","IND","Independent","DAOUD","Jamal","4","41328","ALP","Australian Labor Party (N.S.W. Branch)","STANLEY","Anne Maree","2","40","65.570"
"NSW","153","Werriwa","863","Austral","41994","IND","Independent","DAOUD","Jamal","4","41503","LP","Liberal Party of Australia, NSW Division","KAYAL","Sam","5","21","34.430"
