2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NT","307","Solomon","0","ABSENT","0","","","First Preferences","","0","41012","ALP","Australian Labor Party (Northern Territory) Branch","GOSLING","Luke John","7","215","51.190"
"NT","307","Solomon","0","ABSENT","0","","","First Preferences","","0","41036","CLP","Country Liberal Party (NT)","BAYLISS","Lisa","2","205","48.810"
"NT","307","Solomon","0","ABSENT","41153","GRN","Australian Greens","PARRY","Jonathan","1","41036","CLP","Country Liberal Party (NT)","BAYLISS","Lisa","2","26","29.550"
"NT","307","Solomon","0","ABSENT","41153","GRN","Australian Greens","PARRY","Jonathan","1","41012","ALP","Australian Labor Party (Northern Territory) Branch","GOSLING","Luke John","7","62","70.450"
"NT","307","Solomon","0","ABSENT","41023","ON","Pauline Hanson's One Nation","CRAKER","Benjamin","3","41012","ALP","Australian Labor Party (Northern Territory) Branch","GOSLING","Luke John","7","18","19.150"
"NT","307","Solomon","0","ABSENT","41023","ON","Pauline Hanson's One Nation","CRAKER","Benjamin","3","41036","CLP","Country Liberal Party (NT)","BAYLISS","Lisa","2","76","80.850"
"NT","307","Solomon","0","ABSENT","40620","IND","Independent","SCOTT","Phil","4","41012","ALP","Australian Labor Party (Northern Territory) Branch","GOSLING","Luke John","7","36","52.170"
"NT","307","Solomon","0","ABSENT","40620","IND","Independent","SCOTT","Phil","4","41036","CLP","Country Liberal Party (NT)","BAYLISS","Lisa","2","33","47.830"
"NT","307","Solomon","0","ABSENT","40639","CEC","Australian Citizens Party","KRISTO","Brian","5","41036","CLP","Country Liberal Party (NT)","BAYLISS","Lisa","2","6","75.000"
"NT","307","Solomon","0","ABSENT","40639","CEC","Australian Citizens Party","KRISTO","Brian","5","41012","ALP","Australian Labor Party (Northern Territory) Branch","GOSLING","Luke John","7","2","25.000"
"NT","307","Solomon","0","ABSENT","42082","IND","Independent","DAVIES","Janey","6","41036","CLP","Country Liberal Party (NT)","BAYLISS","Lisa","2","19","70.370"
"NT","307","Solomon","0","ABSENT","42082","IND","Independent","DAVIES","Janey","6","41012","ALP","Australian Labor Party (Northern Territory) Branch","GOSLING","Luke John","7","8","29.630"
"NT","307","Solomon","0","POSTAL","0","","","First Preferences","","0","41036","CLP","Country Liberal Party (NT)","BAYLISS","Lisa","2","1377","55.550"
"NT","307","Solomon","0","POSTAL","0","","","First Preferences","","0","41012","ALP","Australian Labor Party (Northern Territory) Branch","GOSLING","Luke John","7","1102","44.450"
"NT","307","Solomon","0","POSTAL","41153","GRN","Australian Greens","PARRY","Jonathan","1","41036","CLP","Country Liberal Party (NT)","BAYLISS","Lisa","2","56","16.870"
"NT","307","Solomon","0","POSTAL","41153","GRN","Australian Greens","PARRY","Jonathan","1","41012","ALP","Australian Labor Party (Northern Territory) Branch","GOSLING","Luke John","7","276","83.130"
