2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","155","Bowman","0","ABSENT","0","","","First Preferences","","0","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","659","46.870"
"QLD","155","Bowman","0","ABSENT","0","","","First Preferences","","0","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","747","53.130"
"QLD","155","Bowman","0","ABSENT","40852","FFPA","Family First Party Australia","TODD","David","2","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","72","66.060"
"QLD","155","Bowman","0","ABSENT","40852","FFPA","Family First Party Australia","TODD","David","2","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","37","33.940"
"QLD","155","Bowman","0","ABSENT","40623","IND","Independent","HOLLOWAY","Shaun","3","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","54","58.060"
"QLD","155","Bowman","0","ABSENT","40623","IND","Independent","HOLLOWAY","Shaun","3","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","39","41.940"
"QLD","155","Bowman","0","ABSENT","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","73","31.470"
"QLD","155","Bowman","0","ABSENT","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","159","68.530"
"QLD","155","Bowman","0","ABSENT","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","45","28.480"
"QLD","155","Bowman","0","ABSENT","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","113","71.520"
"QLD","155","Bowman","0","ABSENT","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","62","15.310"
"QLD","155","Bowman","0","ABSENT","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","343","84.690"
"QLD","155","Bowman","0","POSTAL","0","","","First Preferences","","0","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","7537","57.420"
"QLD","155","Bowman","0","POSTAL","0","","","First Preferences","","0","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","5588","42.580"
"QLD","155","Bowman","0","POSTAL","40852","FFPA","Family First Party Australia","TODD","David","2","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","126","29.440"
"QLD","155","Bowman","0","POSTAL","40852","FFPA","Family First Party Australia","TODD","David","2","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","302","70.560"
"QLD","155","Bowman","0","POSTAL","40623","IND","Independent","HOLLOWAY","Shaun","3","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","393","65.070"
"QLD","155","Bowman","0","POSTAL","40623","IND","Independent","HOLLOWAY","Shaun","3","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","211","34.930"
"QLD","155","Bowman","0","POSTAL","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","326","24.040"
"QLD","155","Bowman","0","POSTAL","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","1030","75.960"
"QLD","155","Bowman","0","POSTAL","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","180","29.800"
"QLD","155","Bowman","0","POSTAL","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","424","70.200"
"QLD","155","Bowman","0","POSTAL","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","1381","83.140"
"QLD","155","Bowman","0","POSTAL","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","280","16.860"
"QLD","155","Bowman","0","PRE_POLL","0","","","First Preferences","","0","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","1072","47.040"
"QLD","155","Bowman","0","PRE_POLL","0","","","First Preferences","","0","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","1207","52.960"
"QLD","155","Bowman","0","PRE_POLL","40852","FFPA","Family First Party Australia","TODD","David","2","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","39","29.550"
"QLD","155","Bowman","0","PRE_POLL","40852","FFPA","Family First Party Australia","TODD","David","2","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","93","70.450"
"QLD","155","Bowman","0","PRE_POLL","40623","IND","Independent","HOLLOWAY","Shaun","3","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","72","57.600"
"QLD","155","Bowman","0","PRE_POLL","40623","IND","Independent","HOLLOWAY","Shaun","3","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","53","42.400"
"QLD","155","Bowman","0","PRE_POLL","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","89","25.070"
"QLD","155","Bowman","0","PRE_POLL","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","266","74.930"
"QLD","155","Bowman","0","PRE_POLL","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","52","33.550"
"QLD","155","Bowman","0","PRE_POLL","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","103","66.450"
"QLD","155","Bowman","0","PRE_POLL","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","432","85.710"
"QLD","155","Bowman","0","PRE_POLL","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","72","14.290"
"QLD","155","Bowman","0","PROVISIONAL","0","","","First Preferences","","0","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","39","52.000"
"QLD","155","Bowman","0","PROVISIONAL","0","","","First Preferences","","0","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","36","48.000"
"QLD","155","Bowman","0","PROVISIONAL","40852","FFPA","Family First Party Australia","TODD","David","2","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","4","36.360"
"QLD","155","Bowman","0","PROVISIONAL","40852","FFPA","Family First Party Australia","TODD","David","2","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","7","63.640"
"QLD","155","Bowman","0","PROVISIONAL","40623","IND","Independent","HOLLOWAY","Shaun","3","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","3","42.860"
"QLD","155","Bowman","0","PROVISIONAL","40623","IND","Independent","HOLLOWAY","Shaun","3","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","4","57.140"
"QLD","155","Bowman","0","PROVISIONAL","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","3","18.750"
"QLD","155","Bowman","0","PROVISIONAL","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","13","81.250"
"QLD","155","Bowman","0","PROVISIONAL","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","1","16.670"
"QLD","155","Bowman","0","PROVISIONAL","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","5","83.330"
"QLD","155","Bowman","0","PROVISIONAL","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","25","71.430"
"QLD","155","Bowman","0","PROVISIONAL","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","10","28.570"
"QLD","155","Bowman","5124","Alexandra Hills","0","","","First Preferences","","0","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","404","54.590"
"QLD","155","Bowman","5124","Alexandra Hills","0","","","First Preferences","","0","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","336","45.410"
"QLD","155","Bowman","5124","Alexandra Hills","40852","FFPA","Family First Party Australia","TODD","David","2","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","35","68.630"
"QLD","155","Bowman","5124","Alexandra Hills","40852","FFPA","Family First Party Australia","TODD","David","2","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","16","31.370"
"QLD","155","Bowman","5124","Alexandra Hills","40623","IND","Independent","HOLLOWAY","Shaun","3","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","19","47.500"
"QLD","155","Bowman","5124","Alexandra Hills","40623","IND","Independent","HOLLOWAY","Shaun","3","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","21","52.500"
"QLD","155","Bowman","5124","Alexandra Hills","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","76","79.170"
"QLD","155","Bowman","5124","Alexandra Hills","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","20","20.830"
"QLD","155","Bowman","5124","Alexandra Hills","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","30","57.690"
"QLD","155","Bowman","5124","Alexandra Hills","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","22","42.310"
"QLD","155","Bowman","5124","Alexandra Hills","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","26","15.120"
"QLD","155","Bowman","5124","Alexandra Hills","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","146","84.880"
"QLD","155","Bowman","5125","Amity Point","0","","","First Preferences","","0","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","61","40.940"
"QLD","155","Bowman","5125","Amity Point","0","","","First Preferences","","0","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","88","59.060"
"QLD","155","Bowman","5125","Amity Point","40852","FFPA","Family First Party Australia","TODD","David","2","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","2","33.330"
"QLD","155","Bowman","5125","Amity Point","40852","FFPA","Family First Party Australia","TODD","David","2","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","4","66.670"
"QLD","155","Bowman","5125","Amity Point","40623","IND","Independent","HOLLOWAY","Shaun","3","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","5","50.000"
"QLD","155","Bowman","5125","Amity Point","40623","IND","Independent","HOLLOWAY","Shaun","3","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","5","50.000"
"QLD","155","Bowman","5125","Amity Point","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","12","85.710"
"QLD","155","Bowman","5125","Amity Point","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","2","14.290"
"QLD","155","Bowman","5125","Amity Point","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","9","81.820"
"QLD","155","Bowman","5125","Amity Point","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","2","18.180"
"QLD","155","Bowman","5125","Amity Point","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","4","17.390"
"QLD","155","Bowman","5125","Amity Point","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","19","82.610"
"QLD","155","Bowman","5127","Birkdale","0","","","First Preferences","","0","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","702","52.120"
"QLD","155","Bowman","5127","Birkdale","0","","","First Preferences","","0","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","645","47.880"
"QLD","155","Bowman","5127","Birkdale","40852","FFPA","Family First Party Australia","TODD","David","2","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","35","62.500"
"QLD","155","Bowman","5127","Birkdale","40852","FFPA","Family First Party Australia","TODD","David","2","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","21","37.500"
"QLD","155","Bowman","5127","Birkdale","40623","IND","Independent","HOLLOWAY","Shaun","3","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","16","26.230"
"QLD","155","Bowman","5127","Birkdale","40623","IND","Independent","HOLLOWAY","Shaun","3","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","45","73.770"
"QLD","155","Bowman","5127","Birkdale","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","124","78.480"
"QLD","155","Bowman","5127","Birkdale","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","34","21.520"
"QLD","155","Bowman","5127","Birkdale","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","44","70.970"
"QLD","155","Bowman","5127","Birkdale","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","18","29.030"
"QLD","155","Bowman","5127","Birkdale","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","50","15.530"
"QLD","155","Bowman","5127","Birkdale","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","272","84.470"
"QLD","155","Bowman","5128","Birkdale South","0","","","First Preferences","","0","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","411","53.940"
"QLD","155","Bowman","5128","Birkdale South","0","","","First Preferences","","0","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","351","46.060"
"QLD","155","Bowman","5128","Birkdale South","40852","FFPA","Family First Party Australia","TODD","David","2","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","16","51.610"
"QLD","155","Bowman","5128","Birkdale South","40852","FFPA","Family First Party Australia","TODD","David","2","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","15","48.390"
"QLD","155","Bowman","5128","Birkdale South","40623","IND","Independent","HOLLOWAY","Shaun","3","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","13","30.950"
"QLD","155","Bowman","5128","Birkdale South","40623","IND","Independent","HOLLOWAY","Shaun","3","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","29","69.050"
"QLD","155","Bowman","5128","Birkdale South","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","83","74.770"
"QLD","155","Bowman","5128","Birkdale South","40930","ON","Pauline Hanson's One Nation","KNIGHT","Matthew","4","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","28","25.230"
"QLD","155","Bowman","5128","Birkdale South","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","28","58.330"
"QLD","155","Bowman","5128","Birkdale South","41334","CYA","Trumpet of Patriots","WILLIAMSON","Gary","5","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","20","41.670"
"QLD","155","Bowman","5128","Birkdale South","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","41212","LNP","Liberal National Party of Queensland","PIKE","Henry","6","47","19.580"
"QLD","155","Bowman","5128","Birkdale South","41259","GRN","Queensland Greens","LOCKHART","Kristie","7","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","193","80.420"
"QLD","155","Bowman","5129","Capalaba","0","","","First Preferences","","0","40730","ALP","Australian Labor Party (State of Queensland)","BROWN","Darcy","1","795","56.540"
