2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","167","Kennedy","0","ABSENT","0","","","First Preferences","","0","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","871","64.330"
"QLD","167","Kennedy","0","ABSENT","0","","","First Preferences","","0","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","483","35.670"
"QLD","167","Kennedy","0","ABSENT","40636","IND","Independent","CLARE","Steven","2","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","31","46.970"
"QLD","167","Kennedy","0","ABSENT","40636","IND","Independent","CLARE","Steven","2","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","35","53.030"
"QLD","167","Kennedy","0","ABSENT","41255","GRN","Queensland Greens","STANFORD","Carole","3","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","88","40.180"
"QLD","167","Kennedy","0","ABSENT","41255","GRN","Queensland Greens","STANFORD","Carole","3","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","131","59.820"
"QLD","167","Kennedy","0","ABSENT","40899","FFPA","Family First Party Australia","LUSH","Douglas","4","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","43","60.560"
"QLD","167","Kennedy","0","ABSENT","40899","FFPA","Family First Party Australia","LUSH","Douglas","4","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","28","39.440"
"QLD","167","Kennedy","0","ABSENT","40950","ON","Pauline Hanson's One Nation","HARRIS","Kate","5","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","142","66.980"
"QLD","167","Kennedy","0","ABSENT","40950","ON","Pauline Hanson's One Nation","HARRIS","Kate","5","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","70","33.020"
"QLD","167","Kennedy","0","ABSENT","40760","ALP","Australian Labor Party (State of Queensland)","WINN","Sharon","6","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","319","68.310"
"QLD","167","Kennedy","0","ABSENT","40760","ALP","Australian Labor Party (State of Queensland)","WINN","Sharon","6","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","148","31.690"
"QLD","167","Kennedy","0","ABSENT","41364","CYA","Trumpet of Patriots","WESTCOTT","Mark","7","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","21","28.770"
"QLD","167","Kennedy","0","ABSENT","41364","CYA","Trumpet of Patriots","WESTCOTT","Mark","7","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","52","71.230"
"QLD","167","Kennedy","0","POSTAL","0","","","First Preferences","","0","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","3228","55.260"
"QLD","167","Kennedy","0","POSTAL","0","","","First Preferences","","0","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","2613","44.740"
"QLD","167","Kennedy","0","POSTAL","40636","IND","Independent","CLARE","Steven","2","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","64","53.780"
"QLD","167","Kennedy","0","POSTAL","40636","IND","Independent","CLARE","Steven","2","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","55","46.220"
"QLD","167","Kennedy","0","POSTAL","41255","GRN","Queensland Greens","STANFORD","Carole","3","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","176","38.260"
"QLD","167","Kennedy","0","POSTAL","41255","GRN","Queensland Greens","STANFORD","Carole","3","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","284","61.740"
"QLD","167","Kennedy","0","POSTAL","40899","FFPA","Family First Party Australia","LUSH","Douglas","4","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","30","28.040"
"QLD","167","Kennedy","0","POSTAL","40899","FFPA","Family First Party Australia","LUSH","Douglas","4","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","77","71.960"
"QLD","167","Kennedy","0","POSTAL","40950","ON","Pauline Hanson's One Nation","HARRIS","Kate","5","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","202","26.030"
"QLD","167","Kennedy","0","POSTAL","40950","ON","Pauline Hanson's One Nation","HARRIS","Kate","5","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","574","73.970"
"QLD","167","Kennedy","0","POSTAL","40760","ALP","Australian Labor Party (State of Queensland)","WINN","Sharon","6","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","391","30.290"
"QLD","167","Kennedy","0","POSTAL","40760","ALP","Australian Labor Party (State of Queensland)","WINN","Sharon","6","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","900","69.710"
"QLD","167","Kennedy","0","POSTAL","41364","CYA","Trumpet of Patriots","WESTCOTT","Mark","7","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","44","26.990"
"QLD","167","Kennedy","0","POSTAL","41364","CYA","Trumpet of Patriots","WESTCOTT","Mark","7","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","119","73.010"
"QLD","167","Kennedy","0","PRE_POLL","0","","","First Preferences","","0","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","1046","58.730"
"QLD","167","Kennedy","0","PRE_POLL","0","","","First Preferences","","0","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","735","41.270"
"QLD","167","Kennedy","0","PRE_POLL","40636","IND","Independent","CLARE","Steven","2","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","36","52.170"
"QLD","167","Kennedy","0","PRE_POLL","40636","IND","Independent","CLARE","Steven","2","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","33","47.830"
"QLD","167","Kennedy","0","PRE_POLL","41255","GRN","Queensland Greens","STANFORD","Carole","3","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","106","39.260"
"QLD","167","Kennedy","0","PRE_POLL","41255","GRN","Queensland Greens","STANFORD","Carole","3","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","164","60.740"
"QLD","167","Kennedy","0","PRE_POLL","40899","FFPA","Family First Party Australia","LUSH","Douglas","4","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","16","26.230"
"QLD","167","Kennedy","0","PRE_POLL","40899","FFPA","Family First Party Australia","LUSH","Douglas","4","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","45","73.770"
"QLD","167","Kennedy","0","PRE_POLL","40950","ON","Pauline Hanson's One Nation","HARRIS","Kate","5","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","85","26.230"
"QLD","167","Kennedy","0","PRE_POLL","40950","ON","Pauline Hanson's One Nation","HARRIS","Kate","5","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","239","73.770"
"QLD","167","Kennedy","0","PRE_POLL","40760","ALP","Australian Labor Party (State of Queensland)","WINN","Sharon","6","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","199","33.900"
"QLD","167","Kennedy","0","PRE_POLL","40760","ALP","Australian Labor Party (State of Queensland)","WINN","Sharon","6","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","388","66.100"
"QLD","167","Kennedy","0","PRE_POLL","41364","CYA","Trumpet of Patriots","WESTCOTT","Mark","7","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","27","27.270"
"QLD","167","Kennedy","0","PRE_POLL","41364","CYA","Trumpet of Patriots","WESTCOTT","Mark","7","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","72","72.730"
"QLD","167","Kennedy","0","PROVISIONAL","0","","","First Preferences","","0","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","99","73.330"
"QLD","167","Kennedy","0","PROVISIONAL","0","","","First Preferences","","0","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","36","26.670"
"QLD","167","Kennedy","0","PROVISIONAL","40636","IND","Independent","CLARE","Steven","2","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","0","0.000"
"QLD","167","Kennedy","0","PROVISIONAL","40636","IND","Independent","CLARE","Steven","2","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","4","100.000"
"QLD","167","Kennedy","0","PROVISIONAL","41255","GRN","Queensland Greens","STANFORD","Carole","3","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","10","52.630"
"QLD","167","Kennedy","0","PROVISIONAL","41255","GRN","Queensland Greens","STANFORD","Carole","3","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","9","47.370"
"QLD","167","Kennedy","0","PROVISIONAL","40899","FFPA","Family First Party Australia","LUSH","Douglas","4","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","2","28.570"
"QLD","167","Kennedy","0","PROVISIONAL","40899","FFPA","Family First Party Australia","LUSH","Douglas","4","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","5","71.430"
"QLD","167","Kennedy","0","PROVISIONAL","40950","ON","Pauline Hanson's One Nation","HARRIS","Kate","5","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","4","23.530"
"QLD","167","Kennedy","0","PROVISIONAL","40950","ON","Pauline Hanson's One Nation","HARRIS","Kate","5","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","13","76.470"
"QLD","167","Kennedy","0","PROVISIONAL","40760","ALP","Australian Labor Party (State of Queensland)","WINN","Sharon","6","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","10","34.480"
"QLD","167","Kennedy","0","PROVISIONAL","40760","ALP","Australian Labor Party (State of Queensland)","WINN","Sharon","6","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","19","65.520"
"QLD","167","Kennedy","0","PROVISIONAL","41364","CYA","Trumpet of Patriots","WESTCOTT","Mark","7","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","1","10.000"
"QLD","167","Kennedy","0","PROVISIONAL","41364","CYA","Trumpet of Patriots","WESTCOTT","Mark","7","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","9","90.000"
"QLD","167","Kennedy","5657","Forrest Beach","0","","","First Preferences","","0","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","125","58.140"
"QLD","167","Kennedy","5657","Forrest Beach","0","","","First Preferences","","0","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","90","41.860"
"QLD","167","Kennedy","5657","Forrest Beach","40636","IND","Independent","CLARE","Steven","2","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","2","100.000"
"QLD","167","Kennedy","5657","Forrest Beach","40636","IND","Independent","CLARE","Steven","2","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","0","0.000"
"QLD","167","Kennedy","5657","Forrest Beach","41255","GRN","Queensland Greens","STANFORD","Carole","3","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","10","71.430"
"QLD","167","Kennedy","5657","Forrest Beach","41255","GRN","Queensland Greens","STANFORD","Carole","3","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","4","28.570"
"QLD","167","Kennedy","5657","Forrest Beach","40899","FFPA","Family First Party Australia","LUSH","Douglas","4","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","5","83.330"
"QLD","167","Kennedy","5657","Forrest Beach","40899","FFPA","Family First Party Australia","LUSH","Douglas","4","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","1","16.670"
"QLD","167","Kennedy","5657","Forrest Beach","40950","ON","Pauline Hanson's One Nation","HARRIS","Kate","5","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","24","80.000"
"QLD","167","Kennedy","5657","Forrest Beach","40950","ON","Pauline Hanson's One Nation","HARRIS","Kate","5","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","6","20.000"
"QLD","167","Kennedy","5657","Forrest Beach","40760","ALP","Australian Labor Party (State of Queensland)","WINN","Sharon","6","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","46","83.640"
"QLD","167","Kennedy","5657","Forrest Beach","40760","ALP","Australian Labor Party (State of Queensland)","WINN","Sharon","6","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","9","16.360"
"QLD","167","Kennedy","5657","Forrest Beach","41364","CYA","Trumpet of Patriots","WESTCOTT","Mark","7","40650","KAP","Katter's Australian Party (KAP)","KATTER","Bob","8","4","66.670"
"QLD","167","Kennedy","5657","Forrest Beach","41364","CYA","Trumpet of Patriots","WESTCOTT","Mark","7","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","2","33.330"
"QLD","167","Kennedy","5676","Long Pocket","0","","","First Preferences","","0","41184","LNP","Liberal National Party of Queensland","SWAINE","Annette","1","45","38.140"
