2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"QLD","169","Lilley","0","ABSENT","0","","","First Preferences","","0","40777","ALP","Australian Labor Party (State of Queensland)","WELLS","Anika","2","1499","63.120"
"QLD","169","Lilley","0","ABSENT","0","","","First Preferences","","0","41190","LNP","Liberal National Party of Queensland","WASHINGTON","Kimberley","6","876","36.880"
"QLD","169","Lilley","0","ABSENT","41376","CYA","Trumpet of Patriots","MORRISON","Joshua","1","40777","ALP","Australian Labor Party (State of Queensland)","WELLS","Anika","2","95","53.070"
"QLD","169","Lilley","0","ABSENT","41376","CYA","Trumpet of Patriots","MORRISON","Joshua","1","41190","LNP","Liberal National Party of Queensland","WASHINGTON","Kimberley","6","84","46.930"
"QLD","169","Lilley","0","ABSENT","41290","GRN","Queensland Greens","STEVENS","Melissa","3","40777","ALP","Australian Labor Party (State of Queensland)","WELLS","Anika","2","797","88.850"
"QLD","169","Lilley","0","ABSENT","41290","GRN","Queensland Greens","STEVENS","Melissa","3","41190","LNP","Liberal National Party of Queensland","WASHINGTON","Kimberley","6","100","11.150"
"QLD","169","Lilley","0","ABSENT","40904","FFPA","Family First Party Australia","DENARO","Alan","4","41190","LNP","Liberal National Party of Queensland","WASHINGTON","Kimberley","6","88","55.350"
"QLD","169","Lilley","0","ABSENT","40904","FFPA","Family First Party Australia","DENARO","Alan","4","40777","ALP","Australian Labor Party (State of Queensland)","WELLS","Anika","2","71","44.650"
"QLD","169","Lilley","0","ABSENT","40956","ON","Pauline Hanson's One Nation","McKAY","Michelle","5","40777","ALP","Australian Labor Party (State of Queensland)","WELLS","Anika","2","79","35.590"
"QLD","169","Lilley","0","ABSENT","40956","ON","Pauline Hanson's One Nation","McKAY","Michelle","5","41190","LNP","Liberal National Party of Queensland","WASHINGTON","Kimberley","6","143","64.410"
"QLD","169","Lilley","0","POSTAL","0","","","First Preferences","","0","41190","LNP","Liberal National Party of Queensland","WASHINGTON","Kimberley","6","6287","41.510"
"QLD","169","Lilley","0","POSTAL","0","","","First Preferences","","0","40777","ALP","Australian Labor Party (State of Queensland)","WELLS","Anika","2","8858","58.490"
"QLD","169","Lilley","0","POSTAL","41376","CYA","Trumpet of Patriots","MORRISON","Joshua","1","41190","LNP","Liberal National Party of Queensland","WASHINGTON","Kimberley","6","300","60.120"
"QLD","169","Lilley","0","POSTAL","41376","CYA","Trumpet of Patriots","MORRISON","Joshua","1","40777","ALP","Australian Labor Party (State of Queensland)","WELLS","Anika","2","199","39.880"
"QLD","169","Lilley","0","POSTAL","41290","GRN","Queensland Greens","STEVENS","Melissa","3","41190","LNP","Liberal National Party of Queensland","WASHINGTON","Kimberley","6","198","8.140"
"QLD","169","Lilley","0","POSTAL","41290","GRN","Queensland Greens","STEVENS","Melissa","3","40777","ALP","Australian Labor Party (State of Queensland)","WELLS","Anika","2","2233","91.860"
"QLD","169","Lilley","0","POSTAL","40904","FFPA","Family First Party Australia","DENARO","Alan","4","41190","LNP","Liberal National Party of Queensland","WASHINGTON","Kimberley","6","241","66.390"
"QLD","169","Lilley","0","POSTAL","40904","FFPA","Family First Party Australia","DENARO","Alan","4","40777","ALP","Australian Labor Party (State of Queensland)","WELLS","Anika","2","122","33.610"
"QLD","169","Lilley","0","POSTAL","40956","ON","Pauline Hanson's One Nation","McKAY","Michelle","5","41190","LNP","Liberal National Party of Queensland","WASHINGTON","Kimberley","6","622","73.350"
"QLD","169","Lilley","0","POSTAL","40956","ON","Pauline Hanson's One Nation","McKAY","Michelle","5","40777","ALP","Australian Labor Party (State of Queensland)","WELLS","Anika","2","226","26.650"
"QLD","169","Lilley","0","PRE_POLL","0","","","First Preferences","","0","40777","ALP","Australian Labor Party (State of Queensland)","WELLS","Anika","2","1534","62.840"
"QLD","169","Lilley","0","PRE_POLL","0","","","First Preferences","","0","41190","LNP","Liberal National Party of Queensland","WASHINGTON","Kimberley","6","907","37.160"
