2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"SA","185","Hindmarsh","0","ABSENT","0","","","First Preferences","","0","41207","ALP","Australian Labor Party (South Australian Branch)","BUTLER","Mark","8","1556","67.270"
"SA","185","Hindmarsh","0","ABSENT","0","","","First Preferences","","0","41027","LP","Liberal Party of Australia (S.A. Division)","LEHMANN","Chris","5","757","32.730"
"SA","185","Hindmarsh","0","ABSENT","41045","CYA","Trumpet of Patriots","TOWNSEND","Andrew","1","41207","ALP","Australian Labor Party (South Australian Branch)","BUTLER","Mark","8","79","31.470"
"SA","185","Hindmarsh","0","ABSENT","41045","CYA","Trumpet of Patriots","TOWNSEND","Andrew","1","41027","LP","Liberal Party of Australia (S.A. Division)","LEHMANN","Chris","5","172","68.530"
"SA","185","Hindmarsh","0","ABSENT","41063","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","ALOE","Adrien","2","41207","ALP","Australian Labor Party (South Australian Branch)","BUTLER","Mark","8","20","60.610"
"SA","185","Hindmarsh","0","ABSENT","41063","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","ALOE","Adrien","2","41027","LP","Liberal Party of Australia (S.A. Division)","LEHMANN","Chris","5","13","39.390"
"SA","185","Hindmarsh","0","ABSENT","41053","FFPA","Family First Party Australia","TENNIKOFF","Alex","3","41207","ALP","Australian Labor Party (South Australian Branch)","BUTLER","Mark","8","36","28.130"
"SA","185","Hindmarsh","0","ABSENT","41053","FFPA","Family First Party Australia","TENNIKOFF","Alex","3","41027","LP","Liberal Party of Australia (S.A. Division)","LEHMANN","Chris","5","92","71.880"
"SA","185","Hindmarsh","0","ABSENT","42033","ON","Pauline Hanson's One Nation","DeANGELIS","Rocco","4","41207","ALP","Australian Labor Party (South Australian Branch)","BUTLER","Mark","8","79","30.620"
"SA","185","Hindmarsh","0","ABSENT","42033","ON","Pauline Hanson's One Nation","DeANGELIS","Rocco","4","41027","LP","Liberal Party of Australia (S.A. Division)","LEHMANN","Chris","5","179","69.380"
"SA","185","Hindmarsh","0","ABSENT","41813","AJP","Animal Justice Party","PASTRO","Matt","6","41207","ALP","Australian Labor Party (South Australian Branch)","BUTLER","Mark","8","63","78.750"
"SA","185","Hindmarsh","0","ABSENT","41813","AJP","Animal Justice Party","PASTRO","Matt","6","41027","LP","Liberal Party of Australia (S.A. Division)","LEHMANN","Chris","5","17","21.250"
"SA","185","Hindmarsh","0","ABSENT","41458","IND","Independent","HALL-EVANS","Jake","7","41207","ALP","Australian Labor Party (South Australian Branch)","BUTLER","Mark","8","41","49.400"
"SA","185","Hindmarsh","0","ABSENT","41458","IND","Independent","HALL-EVANS","Jake","7","41027","LP","Liberal Party of Australia (S.A. Division)","LEHMANN","Chris","5","42","50.600"
