2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"SA","325","Spence","0","ABSENT","0","","","First Preferences","","0","41198","ALP","Australian Labor Party (South Australian Branch)","BURNELL","Matt","5","1519","68.270"
"SA","325","Spence","0","ABSENT","0","","","First Preferences","","0","41040","LP","Liberal Party of Australia (S.A. Division)","WILD","Daniel","2","706","31.730"
"SA","325","Spence","0","ABSENT","41031","GRN","Australian Greens","SKINNER","Luke","1","41198","ALP","Australian Labor Party (South Australian Branch)","BURNELL","Matt","5","700","74.710"
"SA","325","Spence","0","ABSENT","41031","GRN","Australian Greens","SKINNER","Luke","1","41040","LP","Liberal Party of Australia (S.A. Division)","WILD","Daniel","2","237","25.290"
"SA","325","Spence","0","ABSENT","41817","AJP","Animal Justice Party","SMITH","Miranda Joyce","3","41040","LP","Liberal Party of Australia (S.A. Division)","WILD","Daniel","2","44","33.330"
"SA","325","Spence","0","ABSENT","41817","AJP","Animal Justice Party","SMITH","Miranda Joyce","3","41198","ALP","Australian Labor Party (South Australian Branch)","BURNELL","Matt","5","88","66.670"
"SA","325","Spence","0","ABSENT","40652","IND","Independent","HANTON","Kym","4","41040","LP","Liberal Party of Australia (S.A. Division)","WILD","Daniel","2","47","38.840"
"SA","325","Spence","0","ABSENT","40652","IND","Independent","HANTON","Kym","4","41198","ALP","Australian Labor Party (South Australian Branch)","BURNELL","Matt","5","74","61.160"
"SA","325","Spence","0","ABSENT","42039","ON","Pauline Hanson's One Nation","BOTHE","Darryl","6","41040","LP","Liberal Party of Australia (S.A. Division)","WILD","Daniel","2","310","65.400"
"SA","325","Spence","0","ABSENT","42039","ON","Pauline Hanson's One Nation","BOTHE","Darryl","6","41198","ALP","Australian Labor Party (South Australian Branch)","BURNELL","Matt","5","164","34.600"
