2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","197","Aston","0","ABSENT","0","","","First Preferences","","0","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","1058","55.450"
"VIC","197","Aston","0","ABSENT","0","","","First Preferences","","0","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","850","44.550"
"VIC","197","Aston","0","ABSENT","41529","FFPA","Family First Party Australia","MANNERS","Craig","3","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","52","44.070"
"VIC","197","Aston","0","ABSENT","41529","FFPA","Family First Party Australia","MANNERS","Craig","3","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","66","55.930"
"VIC","197","Aston","0","ABSENT","41147","IND","Independent","WILLIAMS","Andrew","4","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","33","46.480"
"VIC","197","Aston","0","ABSENT","41147","IND","Independent","WILLIAMS","Andrew","4","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","38","53.520"
"VIC","197","Aston","0","ABSENT","41307","LTP","Libertarian Party","FAWCETT","David","5","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","27","71.050"
"VIC","197","Aston","0","ABSENT","41307","LTP","Libertarian Party","FAWCETT","David","5","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","11","28.950"
"VIC","197","Aston","0","ABSENT","42063","IND","Independent","GRONDMAN","Mark","6","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","26","35.620"
"VIC","197","Aston","0","ABSENT","42063","IND","Independent","GRONDMAN","Mark","6","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","47","64.380"
"VIC","197","Aston","0","ABSENT","41080","GVIC","The Australian Greens - Victoria","STEEN","Reuben","7","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","58","9.400"
"VIC","197","Aston","0","ABSENT","41080","GVIC","The Australian Greens - Victoria","STEEN","Reuben","7","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","559","90.600"
"VIC","197","Aston","0","ABSENT","41505","ON","Pauline Hanson's One Nation","De WACHT","John","8","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","90","62.500"
"VIC","197","Aston","0","ABSENT","41505","ON","Pauline Hanson's One Nation","De WACHT","John","8","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","54","37.500"
"VIC","197","Aston","0","ABSENT","41355","CYA","Trumpet of Patriots","DESVEAUX","Steve","9","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","82","64.570"
"VIC","197","Aston","0","ABSENT","41355","CYA","Trumpet of Patriots","DESVEAUX","Steve","9","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","45","35.430"
"VIC","197","Aston","0","POSTAL","0","","","First Preferences","","0","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","8781","55.040"
"VIC","197","Aston","0","POSTAL","0","","","First Preferences","","0","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","7173","44.960"
"VIC","197","Aston","0","POSTAL","41529","FFPA","Family First Party Australia","MANNERS","Craig","3","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","364","65.590"
"VIC","197","Aston","0","POSTAL","41529","FFPA","Family First Party Australia","MANNERS","Craig","3","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","191","34.410"
"VIC","197","Aston","0","POSTAL","41147","IND","Independent","WILLIAMS","Andrew","4","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","167","40.050"
"VIC","197","Aston","0","POSTAL","41147","IND","Independent","WILLIAMS","Andrew","4","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","250","59.950"
"VIC","197","Aston","0","POSTAL","41307","LTP","Libertarian Party","FAWCETT","David","5","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","108","66.260"
"VIC","197","Aston","0","POSTAL","41307","LTP","Libertarian Party","FAWCETT","David","5","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","55","33.740"
"VIC","197","Aston","0","POSTAL","42063","IND","Independent","GRONDMAN","Mark","6","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","103","29.430"
"VIC","197","Aston","0","POSTAL","42063","IND","Independent","GRONDMAN","Mark","6","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","247","70.570"
"VIC","197","Aston","0","POSTAL","41080","GVIC","The Australian Greens - Victoria","STEEN","Reuben","7","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","181","10.800"
"VIC","197","Aston","0","POSTAL","41080","GVIC","The Australian Greens - Victoria","STEEN","Reuben","7","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","1495","89.200"
"VIC","197","Aston","0","POSTAL","41505","ON","Pauline Hanson's One Nation","De WACHT","John","8","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","549","69.850"
"VIC","197","Aston","0","POSTAL","41505","ON","Pauline Hanson's One Nation","De WACHT","John","8","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","237","30.150"
"VIC","197","Aston","0","POSTAL","41355","CYA","Trumpet of Patriots","DESVEAUX","Steve","9","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","302","60.160"
"VIC","197","Aston","0","POSTAL","41355","CYA","Trumpet of Patriots","DESVEAUX","Steve","9","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","200","39.840"
"VIC","197","Aston","0","PRE_POLL","0","","","First Preferences","","0","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","992","48.940"
"VIC","197","Aston","0","PRE_POLL","0","","","First Preferences","","0","40809","ALP","Australian Labor Party (Victorian Branch)","DOYLE","Mary","2","1035","51.060"
"VIC","197","Aston","0","PRE_POLL","41529","FFPA","Family First Party Australia","MANNERS","Craig","3","40786","LP","Liberal Party of Australia (Victorian Division)","CICCHIELLO","Manny","1","78","66.670"
