2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","211","Flinders","0","ABSENT","0","","","First Preferences","","0","40748","LP","Liberal Party of Australia (Victorian Division)","McKENZIE","Zoe","3","1033","70.510"
"VIC","211","Flinders","0","ABSENT","0","","","First Preferences","","0","40838","IND","Independent","SMITH","Ben","2","432","29.490"
"VIC","211","Flinders","0","ABSENT","41371","CYA","Trumpet of Patriots","SMART","Jason","1","40838","IND","Independent","SMITH","Ben","2","109","60.220"
"VIC","211","Flinders","0","ABSENT","41371","CYA","Trumpet of Patriots","SMART","Jason","1","40748","LP","Liberal Party of Australia (Victorian Division)","McKENZIE","Zoe","3","72","39.780"
"VIC","211","Flinders","0","ABSENT","41509","ON","Pauline Hanson's One Nation","BROWN","Mike","4","40748","LP","Liberal Party of Australia (Victorian Division)","McKENZIE","Zoe","3","106","54.080"
"VIC","211","Flinders","0","ABSENT","41509","ON","Pauline Hanson's One Nation","BROWN","Mike","4","40838","IND","Independent","SMITH","Ben","2","90","45.920"
"VIC","211","Flinders","0","ABSENT","40892","IND","Independent","TOSCANO","Joseph","5","40748","LP","Liberal Party of Australia (Victorian Division)","McKENZIE","Zoe","3","14","25.450"
"VIC","211","Flinders","0","ABSENT","40892","IND","Independent","TOSCANO","Joseph","5","40838","IND","Independent","SMITH","Ben","2","41","74.550"
"VIC","211","Flinders","0","ABSENT","40853","ALP","Australian Labor Party (Victorian Branch)","RACE","Sarah","6","40838","IND","Independent","SMITH","Ben","2","501","67.520"
"VIC","211","Flinders","0","ABSENT","40853","ALP","Australian Labor Party (Victorian Branch)","RACE","Sarah","6","40748","LP","Liberal Party of Australia (Victorian Division)","McKENZIE","Zoe","3","241","32.480"
"VIC","211","Flinders","0","ABSENT","41131","GVIC","The Australian Greens - Victoria","FROGLEY","Adam","7","40838","IND","Independent","SMITH","Ben","2","361","82.420"
"VIC","211","Flinders","0","ABSENT","41131","GVIC","The Australian Greens - Victoria","FROGLEY","Adam","7","40748","LP","Liberal Party of Australia (Victorian Division)","McKENZIE","Zoe","3","77","17.580"
"VIC","211","Flinders","0","POSTAL","0","","","First Preferences","","0","40748","LP","Liberal Party of Australia (Victorian Division)","McKENZIE","Zoe","3","10255","76.640"
"VIC","211","Flinders","0","POSTAL","0","","","First Preferences","","0","40838","IND","Independent","SMITH","Ben","2","3126","23.360"
"VIC","211","Flinders","0","POSTAL","41371","CYA","Trumpet of Patriots","SMART","Jason","1","40838","IND","Independent","SMITH","Ben","2","311","52.180"
"VIC","211","Flinders","0","POSTAL","41371","CYA","Trumpet of Patriots","SMART","Jason","1","40748","LP","Liberal Party of Australia (Victorian Division)","McKENZIE","Zoe","3","285","47.820"
"VIC","211","Flinders","0","POSTAL","41509","ON","Pauline Hanson's One Nation","BROWN","Mike","4","40838","IND","Independent","SMITH","Ben","2","314","32.540"
"VIC","211","Flinders","0","POSTAL","41509","ON","Pauline Hanson's One Nation","BROWN","Mike","4","40748","LP","Liberal Party of Australia (Victorian Division)","McKENZIE","Zoe","3","651","67.460"
"VIC","211","Flinders","0","POSTAL","40892","IND","Independent","TOSCANO","Joseph","5","40838","IND","Independent","SMITH","Ben","2","116","64.800"
"VIC","211","Flinders","0","POSTAL","40892","IND","Independent","TOSCANO","Joseph","5","40748","LP","Liberal Party of Australia (Victorian Division)","McKENZIE","Zoe","3","63","35.200"
"VIC","211","Flinders","0","POSTAL","40853","ALP","Australian Labor Party (Victorian Branch)","RACE","Sarah","6","40838","IND","Independent","SMITH","Ben","2","3092","73.550"
"VIC","211","Flinders","0","POSTAL","40853","ALP","Australian Labor Party (Victorian Branch)","RACE","Sarah","6","40748","LP","Liberal Party of Australia (Victorian Division)","McKENZIE","Zoe","3","1112","26.450"
"VIC","211","Flinders","0","POSTAL","41131","GVIC","The Australian Greens - Victoria","FROGLEY","Adam","7","40838","IND","Independent","SMITH","Ben","2","829","81.670"
