2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","321","Fraser","0","ABSENT","0","","","First Preferences","","0","40859","ALP","Australian Labor Party (Victorian Branch)","MULINO","Daniel","6","1554","55.280"
"VIC","321","Fraser","0","ABSENT","0","","","First Preferences","","0","41133","GVIC","The Australian Greens - Victoria","TRUONG","Huong","2","1257","44.720"
"VIC","321","Fraser","0","ABSENT","41562","FFPA","Family First Party Australia","RANCIE","Rob","1","41133","GVIC","The Australian Greens - Victoria","TRUONG","Huong","2","166","57.440"
"VIC","321","Fraser","0","ABSENT","41562","FFPA","Family First Party Australia","RANCIE","Rob","1","40859","ALP","Australian Labor Party (Victorian Branch)","MULINO","Daniel","6","123","42.560"
"VIC","321","Fraser","0","ABSENT","41517","ON","Pauline Hanson's One Nation","ROZARIO","George","3","40859","ALP","Australian Labor Party (Victorian Branch)","MULINO","Daniel","6","172","64.180"
"VIC","321","Fraser","0","ABSENT","41517","ON","Pauline Hanson's One Nation","ROZARIO","George","3","41133","GVIC","The Australian Greens - Victoria","TRUONG","Huong","2","96","35.820"
"VIC","321","Fraser","0","ABSENT","40783","LP","Liberal Party of Australia (Victorian Division)","PATEL","Satish","4","41133","GVIC","The Australian Greens - Victoria","TRUONG","Huong","2","329","48.030"
"VIC","321","Fraser","0","ABSENT","40783","LP","Liberal Party of Australia (Victorian Division)","PATEL","Satish","4","40859","ALP","Australian Labor Party (Victorian Branch)","MULINO","Daniel","6","356","51.970"
"VIC","321","Fraser","0","ABSENT","41004","VNS","Victorian Socialists","DUFF","Jasmine","5","41133","GVIC","The Australian Greens - Victoria","TRUONG","Huong","2","207","86.610"
"VIC","321","Fraser","0","ABSENT","41004","VNS","Victorian Socialists","DUFF","Jasmine","5","40859","ALP","Australian Labor Party (Victorian Branch)","MULINO","Daniel","6","32","13.390"
"VIC","321","Fraser","0","POSTAL","0","","","First Preferences","","0","40859","ALP","Australian Labor Party (Victorian Branch)","MULINO","Daniel","6","9035","70.010"
"VIC","321","Fraser","0","POSTAL","0","","","First Preferences","","0","41133","GVIC","The Australian Greens - Victoria","TRUONG","Huong","2","3871","29.990"
"VIC","321","Fraser","0","POSTAL","41562","FFPA","Family First Party Australia","RANCIE","Rob","1","41133","GVIC","The Australian Greens - Victoria","TRUONG","Huong","2","436","51.050"
"VIC","321","Fraser","0","POSTAL","41562","FFPA","Family First Party Australia","RANCIE","Rob","1","40859","ALP","Australian Labor Party (Victorian Branch)","MULINO","Daniel","6","418","48.950"
"VIC","321","Fraser","0","POSTAL","41517","ON","Pauline Hanson's One Nation","ROZARIO","George","3","41133","GVIC","The Australian Greens - Victoria","TRUONG","Huong","2","445","36.120"
"VIC","321","Fraser","0","POSTAL","41517","ON","Pauline Hanson's One Nation","ROZARIO","George","3","40859","ALP","Australian Labor Party (Victorian Branch)","MULINO","Daniel","6","787","63.880"
"VIC","321","Fraser","0","POSTAL","40783","LP","Liberal Party of Australia (Victorian Division)","PATEL","Satish","4","41133","GVIC","The Australian Greens - Victoria","TRUONG","Huong","2","1513","39.740"
"VIC","321","Fraser","0","POSTAL","40783","LP","Liberal Party of Australia (Victorian Division)","PATEL","Satish","4","40859","ALP","Australian Labor Party (Victorian Branch)","MULINO","Daniel","6","2294","60.260"
"VIC","321","Fraser","0","POSTAL","41004","VNS","Victorian Socialists","DUFF","Jasmine","5","41133","GVIC","The Australian Greens - Victoria","TRUONG","Huong","2","548","77.510"
