2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","213","Gippsland","0","ABSENT","0","","","First Preferences","","0","40832","ALP","Australian Labor Party (Victorian Branch)","STEPHENS","Sonny","1","401","41.260"
"VIC","213","Gippsland","0","ABSENT","0","","","First Preferences","","0","41138","NP","National Party of Australia - Victoria","CHESTER","Darren","4","571","58.740"
"VIC","213","Gippsland","0","ABSENT","41523","ON","Pauline Hanson's One Nation","HANSFORD","Gregory","2","40832","ALP","Australian Labor Party (Victorian Branch)","STEPHENS","Sonny","1","55","22.360"
"VIC","213","Gippsland","0","ABSENT","41523","ON","Pauline Hanson's One Nation","HANSFORD","Gregory","2","41138","NP","National Party of Australia - Victoria","CHESTER","Darren","4","191","77.640"
"VIC","213","Gippsland","0","ABSENT","41118","GVIC","The Australian Greens - Victoria","HINE","Rochelle","3","40832","ALP","Australian Labor Party (Victorian Branch)","STEPHENS","Sonny","1","219","73.240"
"VIC","213","Gippsland","0","ABSENT","41118","GVIC","The Australian Greens - Victoria","HINE","Rochelle","3","41138","NP","National Party of Australia - Victoria","CHESTER","Darren","4","80","26.760"
"VIC","213","Gippsland","0","ABSENT","41317","LTP","Libertarian Party","WILSON","Simon","5","41138","NP","National Party of Australia - Victoria","CHESTER","Darren","4","80","82.470"
"VIC","213","Gippsland","0","ABSENT","41317","LTP","Libertarian Party","WILSON","Simon","5","40832","ALP","Australian Labor Party (Victorian Branch)","STEPHENS","Sonny","1","17","17.530"
"VIC","213","Gippsland","0","POSTAL","0","","","First Preferences","","0","40832","ALP","Australian Labor Party (Victorian Branch)","STEPHENS","Sonny","1","1757","31.950"
"VIC","213","Gippsland","0","POSTAL","0","","","First Preferences","","0","41138","NP","National Party of Australia - Victoria","CHESTER","Darren","4","3743","68.050"
"VIC","213","Gippsland","0","POSTAL","41523","ON","Pauline Hanson's One Nation","HANSFORD","Gregory","2","41138","NP","National Party of Australia - Victoria","CHESTER","Darren","4","1014","84.780"
"VIC","213","Gippsland","0","POSTAL","41523","ON","Pauline Hanson's One Nation","HANSFORD","Gregory","2","40832","ALP","Australian Labor Party (Victorian Branch)","STEPHENS","Sonny","1","182","15.220"
"VIC","213","Gippsland","0","POSTAL","41118","GVIC","The Australian Greens - Victoria","HINE","Rochelle","3","41138","NP","National Party of Australia - Victoria","CHESTER","Darren","4","137","19.660"
"VIC","213","Gippsland","0","POSTAL","41118","GVIC","The Australian Greens - Victoria","HINE","Rochelle","3","40832","ALP","Australian Labor Party (Victorian Branch)","STEPHENS","Sonny","1","560","80.340"
"VIC","213","Gippsland","0","POSTAL","41317","LTP","Libertarian Party","WILSON","Simon","5","41138","NP","National Party of Australia - Victoria","CHESTER","Darren","4","225","87.210"
"VIC","213","Gippsland","0","POSTAL","41317","LTP","Libertarian Party","WILSON","Simon","5","40832","ALP","Australian Labor Party (Victorian Branch)","STEPHENS","Sonny","1","33","12.790"
"VIC","213","Gippsland","0","PRE_POLL","0","","","First Preferences","","0","40832","ALP","Australian Labor Party (Victorian Branch)","STEPHENS","Sonny","1","806","35.510"
"VIC","213","Gippsland","0","PRE_POLL","0","","","First Preferences","","0","41138","NP","National Party of Australia - Victoria","CHESTER","Darren","4","1464","64.490"
"VIC","213","Gippsland","0","PRE_POLL","41523","ON","Pauline Hanson's One Nation","HANSFORD","Gregory","2","41138","NP","National Party of Australia - Victoria","CHESTER","Darren","4","469","81.420"
"VIC","213","Gippsland","0","PRE_POLL","41523","ON","Pauline Hanson's One Nation","HANSFORD","Gregory","2","40832","ALP","Australian Labor Party (Victorian Branch)","STEPHENS","Sonny","1","107","18.580"
"VIC","213","Gippsland","0","PRE_POLL","41118","GVIC","The Australian Greens - Victoria","HINE","Rochelle","3","41138","NP","National Party of Australia - Victoria","CHESTER","Darren","4","87","21.700"
"VIC","213","Gippsland","0","PRE_POLL","41118","GVIC","The Australian Greens - Victoria","HINE","Rochelle","3","40832","ALP","Australian Labor Party (Victorian Branch)","STEPHENS","Sonny","1","314","78.300"
"VIC","213","Gippsland","0","PRE_POLL","41317","LTP","Libertarian Party","WILSON","Simon","5","41138","NP","National Party of Australia - Victoria","CHESTER","Darren","4","160","82.470"
"VIC","213","Gippsland","0","PRE_POLL","41317","LTP","Libertarian Party","WILSON","Simon","5","40832","ALP","Australian Labor Party (Victorian Branch)","STEPHENS","Sonny","1","34","17.530"
