2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","214","Goldstein","0","ABSENT","0","","","First Preferences","","0","40747","LP","Liberal Party of Australia (Victorian Division)","WILSON","Tim","7","1223","58.520"
"VIC","214","Goldstein","0","ABSENT","0","","","First Preferences","","0","36074","IND","Independent","DANIEL","Zoe","6","867","41.480"
"VIC","214","Goldstein","0","ABSENT","41372","CYA","Trumpet of Patriots","WILLIAMS","Vicki Jane","1","40747","LP","Liberal Party of Australia (Victorian Division)","WILSON","Tim","7","62","48.060"
"VIC","214","Goldstein","0","ABSENT","41372","CYA","Trumpet of Patriots","WILLIAMS","Vicki Jane","1","36074","IND","Independent","DANIEL","Zoe","6","67","51.940"
"VIC","214","Goldstein","0","ABSENT","40813","ALP","Australian Labor Party (Victorian Branch)","GADANI","Nildhara","2","40747","LP","Liberal Party of Australia (Victorian Division)","WILSON","Tim","7","199","27.340"
"VIC","214","Goldstein","0","ABSENT","40813","ALP","Australian Labor Party (Victorian Branch)","GADANI","Nildhara","2","36074","IND","Independent","DANIEL","Zoe","6","529","72.660"
"VIC","214","Goldstein","0","ABSENT","41309","LTP","Libertarian Party","SEGAL","David","3","36074","IND","Independent","DANIEL","Zoe","6","29","31.520"
"VIC","214","Goldstein","0","ABSENT","41309","LTP","Libertarian Party","SEGAL","David","3","40747","LP","Liberal Party of Australia (Victorian Division)","WILSON","Tim","7","63","68.480"
"VIC","214","Goldstein","0","ABSENT","41112","GVIC","The Australian Greens - Victoria","GALLI-McROSTIE","Alana","4","36074","IND","Independent","DANIEL","Zoe","6","545","88.470"
"VIC","214","Goldstein","0","ABSENT","41112","GVIC","The Australian Greens - Victoria","GALLI-McROSTIE","Alana","4","40747","LP","Liberal Party of Australia (Victorian Division)","WILSON","Tim","7","71","11.530"
"VIC","214","Goldstein","0","ABSENT","41925","ON","Pauline Hanson's One Nation","GARDINER","Leon","5","40747","LP","Liberal Party of Australia (Victorian Division)","WILSON","Tim","7","63","54.310"
"VIC","214","Goldstein","0","ABSENT","41925","ON","Pauline Hanson's One Nation","GARDINER","Leon","5","36074","IND","Independent","DANIEL","Zoe","6","53","45.690"
"VIC","214","Goldstein","0","POSTAL","0","","","First Preferences","","0","40747","LP","Liberal Party of Australia (Victorian Division)","WILSON","Tim","7","10717","69.100"
"VIC","214","Goldstein","0","POSTAL","0","","","First Preferences","","0","36074","IND","Independent","DANIEL","Zoe","6","4793","30.900"
"VIC","214","Goldstein","0","POSTAL","41372","CYA","Trumpet of Patriots","WILLIAMS","Vicki Jane","1","36074","IND","Independent","DANIEL","Zoe","6","179","43.980"
"VIC","214","Goldstein","0","POSTAL","41372","CYA","Trumpet of Patriots","WILLIAMS","Vicki Jane","1","40747","LP","Liberal Party of Australia (Victorian Division)","WILSON","Tim","7","228","56.020"
