2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","218","Indi","0","ABSENT","0","","","First Preferences","","0","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","443","41.990"
"VIC","218","Indi","0","ABSENT","0","","","First Preferences","","0","32086","IND","Independent","HAINES","Helen","1","612","58.010"
"VIC","218","Indi","0","ABSENT","40842","ALP","Australian Labor Party (Victorian Branch)","BRIDGES","Mitch","2","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","62","22.710"
"VIC","218","Indi","0","ABSENT","40842","ALP","Australian Labor Party (Victorian Branch)","BRIDGES","Mitch","2","32086","IND","Independent","HAINES","Helen","1","211","77.290"
"VIC","218","Indi","0","ABSENT","41626","ON","Pauline Hanson's One Nation","THOMAS","Athol","4","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","98","58.330"
"VIC","218","Indi","0","ABSENT","41626","ON","Pauline Hanson's One Nation","THOMAS","Athol","4","32086","IND","Independent","HAINES","Helen","1","70","41.670"
"VIC","218","Indi","0","ABSENT","41125","GVIC","The Australian Greens - Victoria","REGAN","Alysia","5","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","20","10.360"
"VIC","218","Indi","0","ABSENT","41125","GVIC","The Australian Greens - Victoria","REGAN","Alysia","5","32086","IND","Independent","HAINES","Helen","1","173","89.640"
"VIC","218","Indi","0","ABSENT","41314","LTP","Libertarian Party","QUILTY","Tim","6","32086","IND","Independent","HAINES","Helen","1","8","27.590"
"VIC","218","Indi","0","ABSENT","41314","LTP","Libertarian Party","QUILTY","Tim","6","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","21","72.410"
"VIC","218","Indi","0","ABSENT","41573","FFPA","Family First Party Australia","WHITE","Michael","7","32086","IND","Independent","HAINES","Helen","1","27","58.700"
"VIC","218","Indi","0","ABSENT","41573","FFPA","Family First Party Australia","WHITE","Michael","7","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","19","41.300"
"VIC","218","Indi","0","ABSENT","41929","HMP","Legalise Cannabis Australia","HOWMAN","Ben","8","32086","IND","Independent","HAINES","Helen","1","81","65.320"
"VIC","218","Indi","0","ABSENT","41929","HMP","Legalise Cannabis Australia","HOWMAN","Ben","8","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","43","34.680"
"VIC","218","Indi","0","ABSENT","40628","IND","Independent","McFARLANE","Mark","9","32086","IND","Independent","HAINES","Helen","1","18","60.000"
"VIC","218","Indi","0","ABSENT","40628","IND","Independent","McFARLANE","Mark","9","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","12","40.000"
"VIC","218","Indi","0","POSTAL","0","","","First Preferences","","0","32086","IND","Independent","HAINES","Helen","1","6025","53.880"
"VIC","218","Indi","0","POSTAL","0","","","First Preferences","","0","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","5158","46.120"
"VIC","218","Indi","0","POSTAL","40842","ALP","Australian Labor Party (Victorian Branch)","BRIDGES","Mitch","2","32086","IND","Independent","HAINES","Helen","1","1049","80.570"
"VIC","218","Indi","0","POSTAL","40842","ALP","Australian Labor Party (Victorian Branch)","BRIDGES","Mitch","2","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","253","19.430"
"VIC","218","Indi","0","POSTAL","41626","ON","Pauline Hanson's One Nation","THOMAS","Athol","4","32086","IND","Independent","HAINES","Helen","1","465","37.960"
"VIC","218","Indi","0","POSTAL","41626","ON","Pauline Hanson's One Nation","THOMAS","Athol","4","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","760","62.040"
"VIC","218","Indi","0","POSTAL","41125","GVIC","The Australian Greens - Victoria","REGAN","Alysia","5","32086","IND","Independent","HAINES","Helen","1","418","92.890"
"VIC","218","Indi","0","POSTAL","41125","GVIC","The Australian Greens - Victoria","REGAN","Alysia","5","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","32","7.110"
"VIC","218","Indi","0","POSTAL","41314","LTP","Libertarian Party","QUILTY","Tim","6","32086","IND","Independent","HAINES","Helen","1","74","34.580"
"VIC","218","Indi","0","POSTAL","41314","LTP","Libertarian Party","QUILTY","Tim","6","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","140","65.420"
"VIC","218","Indi","0","POSTAL","41573","FFPA","Family First Party Australia","WHITE","Michael","7","32086","IND","Independent","HAINES","Helen","1","98","45.370"
"VIC","218","Indi","0","POSTAL","41573","FFPA","Family First Party Australia","WHITE","Michael","7","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","118","54.630"
"VIC","218","Indi","0","POSTAL","41929","HMP","Legalise Cannabis Australia","HOWMAN","Ben","8","32086","IND","Independent","HAINES","Helen","1","262","65.830"
"VIC","218","Indi","0","POSTAL","41929","HMP","Legalise Cannabis Australia","HOWMAN","Ben","8","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","136","34.170"
"VIC","218","Indi","0","POSTAL","40628","IND","Independent","McFARLANE","Mark","9","32086","IND","Independent","HAINES","Helen","1","114","56.720"
"VIC","218","Indi","0","POSTAL","40628","IND","Independent","McFARLANE","Mark","9","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","87","43.280"
"VIC","218","Indi","0","PRE_POLL","0","","","First Preferences","","0","32086","IND","Independent","HAINES","Helen","1","1833","58.710"
"VIC","218","Indi","0","PRE_POLL","0","","","First Preferences","","0","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","1289","41.290"
"VIC","218","Indi","0","PRE_POLL","40842","ALP","Australian Labor Party (Victorian Branch)","BRIDGES","Mitch","2","32086","IND","Independent","HAINES","Helen","1","437","75.340"
"VIC","218","Indi","0","PRE_POLL","40842","ALP","Australian Labor Party (Victorian Branch)","BRIDGES","Mitch","2","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","143","24.660"
"VIC","218","Indi","0","PRE_POLL","41626","ON","Pauline Hanson's One Nation","THOMAS","Athol","4","32086","IND","Independent","HAINES","Helen","1","184","43.290"
"VIC","218","Indi","0","PRE_POLL","41626","ON","Pauline Hanson's One Nation","THOMAS","Athol","4","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","241","56.710"
"VIC","218","Indi","0","PRE_POLL","41125","GVIC","The Australian Greens - Victoria","REGAN","Alysia","5","32086","IND","Independent","HAINES","Helen","1","325","87.130"
"VIC","218","Indi","0","PRE_POLL","41125","GVIC","The Australian Greens - Victoria","REGAN","Alysia","5","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","48","12.870"
"VIC","218","Indi","0","PRE_POLL","41314","LTP","Libertarian Party","QUILTY","Tim","6","32086","IND","Independent","HAINES","Helen","1","30","35.710"
"VIC","218","Indi","0","PRE_POLL","41314","LTP","Libertarian Party","QUILTY","Tim","6","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","54","64.290"
"VIC","218","Indi","0","PRE_POLL","41573","FFPA","Family First Party Australia","WHITE","Michael","7","32086","IND","Independent","HAINES","Helen","1","47","48.960"
"VIC","218","Indi","0","PRE_POLL","41573","FFPA","Family First Party Australia","WHITE","Michael","7","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","49","51.040"
"VIC","218","Indi","0","PRE_POLL","41929","HMP","Legalise Cannabis Australia","HOWMAN","Ben","8","32086","IND","Independent","HAINES","Helen","1","127","61.060"
"VIC","218","Indi","0","PRE_POLL","41929","HMP","Legalise Cannabis Australia","HOWMAN","Ben","8","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","81","38.940"
"VIC","218","Indi","0","PRE_POLL","40628","IND","Independent","McFARLANE","Mark","9","32086","IND","Independent","HAINES","Helen","1","47","61.840"
"VIC","218","Indi","0","PRE_POLL","40628","IND","Independent","McFARLANE","Mark","9","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","29","38.160"
"VIC","218","Indi","0","PROVISIONAL","0","","","First Preferences","","0","40750","LP","Liberal Party of Australia (Victorian Division)","TRENERY","James","3","10","23.260"
"VIC","218","Indi","0","PROVISIONAL","0","","","First Preferences","","0","32086","IND","Independent","HAINES","Helen","1","33","76.740"
"VIC","218","Indi","0","PROVISIONAL","40842","ALP","Australian Labor Party (Victorian Branch)","BRIDGES","Mitch","2","32086","IND","Independent","HAINES","Helen","1","2","66.670"
