2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","222","Lalor","0","ABSENT","0","","","First Preferences","","0","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","621","34.630"
"VIC","222","Lalor","0","ABSENT","0","","","First Preferences","","0","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","1172","65.370"
"VIC","222","Lalor","0","ABSENT","41103","GVIC","The Australian Greens - Victoria","PARRIS","Owen","1","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","100","14.530"
"VIC","222","Lalor","0","ABSENT","41103","GVIC","The Australian Greens - Victoria","PARRIS","Owen","1","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","588","85.470"
"VIC","222","Lalor","0","ABSENT","41566","FFPA","Family First Party Australia","EMERSON","Matthew","3","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","96","53.330"
"VIC","222","Lalor","0","ABSENT","41566","FFPA","Family First Party Australia","EMERSON","Matthew","3","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","84","46.670"
"VIC","222","Lalor","0","ABSENT","41615","ON","Pauline Hanson's One Nation","OOSTHUIZEN","Jason","4","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","85","41.260"
"VIC","222","Lalor","0","ABSENT","41615","ON","Pauline Hanson's One Nation","OOSTHUIZEN","Jason","4","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","121","58.740"
"VIC","222","Lalor","0","ABSENT","32267","IND","Independent","MOINUDDIN","Aijaz","6","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","51","60.000"
"VIC","222","Lalor","0","ABSENT","32267","IND","Independent","MOINUDDIN","Aijaz","6","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","34","40.000"
"VIC","222","Lalor","0","ABSENT","42079","LTP","Libertarian Party","BARCATTA","Patrizia","7","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","10","26.320"
"VIC","222","Lalor","0","ABSENT","42079","LTP","Libertarian Party","BARCATTA","Patrizia","7","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","28","73.680"
"VIC","222","Lalor","0","POSTAL","0","","","First Preferences","","0","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","6362","62.110"
"VIC","222","Lalor","0","POSTAL","0","","","First Preferences","","0","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","3881","37.890"
"VIC","222","Lalor","0","POSTAL","41103","GVIC","The Australian Greens - Victoria","PARRIS","Owen","1","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","1709","86.620"
"VIC","222","Lalor","0","POSTAL","41103","GVIC","The Australian Greens - Victoria","PARRIS","Owen","1","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","264","13.380"
"VIC","222","Lalor","0","POSTAL","41566","FFPA","Family First Party Australia","EMERSON","Matthew","3","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","320","47.900"
"VIC","222","Lalor","0","POSTAL","41566","FFPA","Family First Party Australia","EMERSON","Matthew","3","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","348","52.100"
"VIC","222","Lalor","0","POSTAL","41615","ON","Pauline Hanson's One Nation","OOSTHUIZEN","Jason","4","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","518","35.410"
"VIC","222","Lalor","0","POSTAL","41615","ON","Pauline Hanson's One Nation","OOSTHUIZEN","Jason","4","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","945","64.590"
"VIC","222","Lalor","0","POSTAL","32267","IND","Independent","MOINUDDIN","Aijaz","6","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","230","67.850"
"VIC","222","Lalor","0","POSTAL","32267","IND","Independent","MOINUDDIN","Aijaz","6","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","109","32.150"
"VIC","222","Lalor","0","POSTAL","42079","LTP","Libertarian Party","BARCATTA","Patrizia","7","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","55","31.430"
"VIC","222","Lalor","0","POSTAL","42079","LTP","Libertarian Party","BARCATTA","Patrizia","7","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","120","68.570"
"VIC","222","Lalor","0","PRE_POLL","0","","","First Preferences","","0","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","638","38.360"
"VIC","222","Lalor","0","PRE_POLL","0","","","First Preferences","","0","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","1025","61.640"
"VIC","222","Lalor","0","PRE_POLL","41103","GVIC","The Australian Greens - Victoria","PARRIS","Owen","1","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","378","85.330"
"VIC","222","Lalor","0","PRE_POLL","41103","GVIC","The Australian Greens - Victoria","PARRIS","Owen","1","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","65","14.670"
"VIC","222","Lalor","0","PRE_POLL","41566","FFPA","Family First Party Australia","EMERSON","Matthew","3","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","59","50.860"
"VIC","222","Lalor","0","PRE_POLL","41566","FFPA","Family First Party Australia","EMERSON","Matthew","3","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","57","49.140"
"VIC","222","Lalor","0","PRE_POLL","41615","ON","Pauline Hanson's One Nation","OOSTHUIZEN","Jason","4","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","82","36.940"
"VIC","222","Lalor","0","PRE_POLL","41615","ON","Pauline Hanson's One Nation","OOSTHUIZEN","Jason","4","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","140","63.060"
"VIC","222","Lalor","0","PRE_POLL","32267","IND","Independent","MOINUDDIN","Aijaz","6","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","27","45.000"
"VIC","222","Lalor","0","PRE_POLL","32267","IND","Independent","MOINUDDIN","Aijaz","6","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","33","55.000"
"VIC","222","Lalor","0","PRE_POLL","42079","LTP","Libertarian Party","BARCATTA","Patrizia","7","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","16","40.000"
"VIC","222","Lalor","0","PRE_POLL","42079","LTP","Libertarian Party","BARCATTA","Patrizia","7","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","24","60.000"
"VIC","222","Lalor","0","PROVISIONAL","0","","","First Preferences","","0","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","39","70.910"
"VIC","222","Lalor","0","PROVISIONAL","0","","","First Preferences","","0","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","16","29.090"
"VIC","222","Lalor","0","PROVISIONAL","41103","GVIC","The Australian Greens - Victoria","PARRIS","Owen","1","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","17","89.470"
"VIC","222","Lalor","0","PROVISIONAL","41103","GVIC","The Australian Greens - Victoria","PARRIS","Owen","1","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","2","10.530"
"VIC","222","Lalor","0","PROVISIONAL","41566","FFPA","Family First Party Australia","EMERSON","Matthew","3","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","0","0.000"
"VIC","222","Lalor","0","PROVISIONAL","41566","FFPA","Family First Party Australia","EMERSON","Matthew","3","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","0","0.000"
"VIC","222","Lalor","0","PROVISIONAL","41615","ON","Pauline Hanson's One Nation","OOSTHUIZEN","Jason","4","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","1","50.000"
"VIC","222","Lalor","0","PROVISIONAL","41615","ON","Pauline Hanson's One Nation","OOSTHUIZEN","Jason","4","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","1","50.000"
"VIC","222","Lalor","0","PROVISIONAL","32267","IND","Independent","MOINUDDIN","Aijaz","6","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","1","50.000"
"VIC","222","Lalor","0","PROVISIONAL","32267","IND","Independent","MOINUDDIN","Aijaz","6","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","1","50.000"
"VIC","222","Lalor","0","PROVISIONAL","42079","LTP","Libertarian Party","BARCATTA","Patrizia","7","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","0","0.000"
"VIC","222","Lalor","0","PROVISIONAL","42079","LTP","Libertarian Party","BARCATTA","Patrizia","7","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","1","100.000"
"VIC","222","Lalor","4241","Bellbridge","0","","","First Preferences","","0","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","753","69.980"
"VIC","222","Lalor","4241","Bellbridge","0","","","First Preferences","","0","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","323","30.020"
"VIC","222","Lalor","4241","Bellbridge","41103","GVIC","The Australian Greens - Victoria","PARRIS","Owen","1","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","33","10.480"
"VIC","222","Lalor","4241","Bellbridge","41103","GVIC","The Australian Greens - Victoria","PARRIS","Owen","1","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","282","89.520"
"VIC","222","Lalor","4241","Bellbridge","41566","FFPA","Family First Party Australia","EMERSON","Matthew","3","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","65","63.730"
"VIC","222","Lalor","4241","Bellbridge","41566","FFPA","Family First Party Australia","EMERSON","Matthew","3","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","37","36.270"
"VIC","222","Lalor","4241","Bellbridge","41615","ON","Pauline Hanson's One Nation","OOSTHUIZEN","Jason","4","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","136","73.910"
"VIC","222","Lalor","4241","Bellbridge","41615","ON","Pauline Hanson's One Nation","OOSTHUIZEN","Jason","4","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","48","26.090"
"VIC","222","Lalor","4241","Bellbridge","32267","IND","Independent","MOINUDDIN","Aijaz","6","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","8","26.670"
"VIC","222","Lalor","4241","Bellbridge","32267","IND","Independent","MOINUDDIN","Aijaz","6","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","22","73.330"
"VIC","222","Lalor","4241","Bellbridge","42079","LTP","Libertarian Party","BARCATTA","Patrizia","7","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","20","90.910"
"VIC","222","Lalor","4241","Bellbridge","42079","LTP","Libertarian Party","BARCATTA","Patrizia","7","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","2","9.090"
"VIC","222","Lalor","4253","Mossfiel","0","","","First Preferences","","0","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","532","66.920"
"VIC","222","Lalor","4253","Mossfiel","0","","","First Preferences","","0","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","263","33.080"
"VIC","222","Lalor","4253","Mossfiel","41103","GVIC","The Australian Greens - Victoria","PARRIS","Owen","1","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","29","10.700"
"VIC","222","Lalor","4253","Mossfiel","41103","GVIC","The Australian Greens - Victoria","PARRIS","Owen","1","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","242","89.300"
"VIC","222","Lalor","4253","Mossfiel","41566","FFPA","Family First Party Australia","EMERSON","Matthew","3","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","27","50.000"
"VIC","222","Lalor","4253","Mossfiel","41566","FFPA","Family First Party Australia","EMERSON","Matthew","3","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","27","50.000"
"VIC","222","Lalor","4253","Mossfiel","41615","ON","Pauline Hanson's One Nation","OOSTHUIZEN","Jason","4","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","67","71.280"
"VIC","222","Lalor","4253","Mossfiel","41615","ON","Pauline Hanson's One Nation","OOSTHUIZEN","Jason","4","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","27","28.720"
"VIC","222","Lalor","4253","Mossfiel","32267","IND","Independent","MOINUDDIN","Aijaz","6","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","7","21.880"
"VIC","222","Lalor","4253","Mossfiel","32267","IND","Independent","MOINUDDIN","Aijaz","6","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","25","78.130"
"VIC","222","Lalor","4253","Mossfiel","42079","LTP","Libertarian Party","BARCATTA","Patrizia","7","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","25","80.650"
"VIC","222","Lalor","4253","Mossfiel","42079","LTP","Libertarian Party","BARCATTA","Patrizia","7","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","6","19.350"
"VIC","222","Lalor","4259","Werribee Central","0","","","First Preferences","","0","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","272","41.210"
"VIC","222","Lalor","4259","Werribee Central","0","","","First Preferences","","0","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","388","58.790"
"VIC","222","Lalor","4259","Werribee Central","41103","GVIC","The Australian Greens - Victoria","PARRIS","Owen","1","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","19","10.380"
"VIC","222","Lalor","4259","Werribee Central","41103","GVIC","The Australian Greens - Victoria","PARRIS","Owen","1","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","164","89.620"
"VIC","222","Lalor","4259","Werribee Central","41566","FFPA","Family First Party Australia","EMERSON","Matthew","3","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","25","65.790"
"VIC","222","Lalor","4259","Werribee Central","41566","FFPA","Family First Party Australia","EMERSON","Matthew","3","40835","ALP","Australian Labor Party (Victorian Branch)","RYAN","Joanne","2","13","34.210"
"VIC","222","Lalor","4259","Werribee Central","41615","ON","Pauline Hanson's One Nation","OOSTHUIZEN","Jason","4","40779","LP","Liberal Party of Australia (Victorian Division)","D'SILVA","Mira","5","51","62.200"
