2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","322","Macnamara","0","ABSENT","0","","","First Preferences","","0","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","1516","43.740"
"VIC","322","Macnamara","0","ABSENT","0","","","First Preferences","","0","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","1950","56.260"
"VIC","322","Macnamara","0","ABSENT","41628","ON","Pauline Hanson's One Nation","RUBIN","Sean","2","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","198","76.150"
"VIC","322","Macnamara","0","ABSENT","41628","ON","Pauline Hanson's One Nation","RUBIN","Sean","2","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","62","23.850"
"VIC","322","Macnamara","0","ABSENT","41110","GVIC","The Australian Greens - Victoria","SEMMENS","Sonya","3","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","132","8.310"
"VIC","322","Macnamara","0","ABSENT","41110","GVIC","The Australian Greens - Victoria","SEMMENS","Sonya","3","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","1457","91.690"
"VIC","322","Macnamara","0","ABSENT","42010","LTP","Libertarian Party","ABELMAN","Michael","5","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","36","31.030"
"VIC","322","Macnamara","0","ABSENT","42010","LTP","Libertarian Party","ABELMAN","Michael","5","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","80","68.970"
"VIC","322","Macnamara","0","ABSENT","37774","IND","Independent","MYERS","JB","6","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","100","52.630"
"VIC","322","Macnamara","0","ABSENT","37774","IND","Independent","MYERS","JB","6","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","90","47.370"
"VIC","322","Macnamara","0","POSTAL","0","","","First Preferences","","0","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","7220","42.750"
"VIC","322","Macnamara","0","POSTAL","0","","","First Preferences","","0","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","9667","57.250"
"VIC","322","Macnamara","0","POSTAL","41628","ON","Pauline Hanson's One Nation","RUBIN","Sean","2","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","134","19.760"
"VIC","322","Macnamara","0","POSTAL","41628","ON","Pauline Hanson's One Nation","RUBIN","Sean","2","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","544","80.240"
"VIC","322","Macnamara","0","POSTAL","41110","GVIC","The Australian Greens - Victoria","SEMMENS","Sonya","3","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","3324","91.190"
"VIC","322","Macnamara","0","POSTAL","41110","GVIC","The Australian Greens - Victoria","SEMMENS","Sonya","3","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","321","8.810"
"VIC","322","Macnamara","0","POSTAL","42010","LTP","Libertarian Party","ABELMAN","Michael","5","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","60","24.390"
"VIC","322","Macnamara","0","POSTAL","42010","LTP","Libertarian Party","ABELMAN","Michael","5","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","186","75.610"
"VIC","322","Macnamara","0","POSTAL","37774","IND","Independent","MYERS","JB","6","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","206","48.360"
"VIC","322","Macnamara","0","POSTAL","37774","IND","Independent","MYERS","JB","6","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","220","51.640"
"VIC","322","Macnamara","0","PRE_POLL","0","","","First Preferences","","0","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","1699","45.310"
"VIC","322","Macnamara","0","PRE_POLL","0","","","First Preferences","","0","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","2051","54.690"
"VIC","322","Macnamara","0","PRE_POLL","41628","ON","Pauline Hanson's One Nation","RUBIN","Sean","2","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","50","26.600"
"VIC","322","Macnamara","0","PRE_POLL","41628","ON","Pauline Hanson's One Nation","RUBIN","Sean","2","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","138","73.400"
"VIC","322","Macnamara","0","PRE_POLL","41110","GVIC","The Australian Greens - Victoria","SEMMENS","Sonya","3","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","1361","91.710"
"VIC","322","Macnamara","0","PRE_POLL","41110","GVIC","The Australian Greens - Victoria","SEMMENS","Sonya","3","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","123","8.290"
"VIC","322","Macnamara","0","PRE_POLL","42010","LTP","Libertarian Party","ABELMAN","Michael","5","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","19","18.810"
"VIC","322","Macnamara","0","PRE_POLL","42010","LTP","Libertarian Party","ABELMAN","Michael","5","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","82","81.190"
"VIC","322","Macnamara","0","PRE_POLL","37774","IND","Independent","MYERS","JB","6","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","80","50.960"
"VIC","322","Macnamara","0","PRE_POLL","37774","IND","Independent","MYERS","JB","6","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","77","49.040"
"VIC","322","Macnamara","0","PROVISIONAL","0","","","First Preferences","","0","40768","LP","Liberal Party of Australia (Victorian Division)","SAULO","Benson","4","39","42.390"
"VIC","322","Macnamara","0","PROVISIONAL","0","","","First Preferences","","0","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","53","57.610"
"VIC","322","Macnamara","0","PROVISIONAL","41628","ON","Pauline Hanson's One Nation","RUBIN","Sean","2","40825","ALP","Australian Labor Party (Victorian Branch)","BURNS","Josh","1","1","25.000"
