2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"VIC","232","Scullin","0","ABSENT","0","","","First Preferences","","0","40782","LP","Liberal Party of Australia (Victorian Division)","TAGGAR","Rohit","6","641","33.970"
"VIC","232","Scullin","0","ABSENT","0","","","First Preferences","","0","40819","ALP","Australian Labor Party (Victorian Branch)","GILES","Andrew","7","1246","66.030"
"VIC","232","Scullin","0","ABSENT","41392","CYA","Trumpet of Patriots","BUCCIANTI","Adriana","1","40819","ALP","Australian Labor Party (Victorian Branch)","GILES","Andrew","7","80","31.750"
"VIC","232","Scullin","0","ABSENT","41392","CYA","Trumpet of Patriots","BUCCIANTI","Adriana","1","40782","LP","Liberal Party of Australia (Victorian Division)","TAGGAR","Rohit","6","172","68.250"
"VIC","232","Scullin","0","ABSENT","41540","FFPA","Family First Party Australia","BELL","Cassandra","2","40819","ALP","Australian Labor Party (Victorian Branch)","GILES","Andrew","7","74","43.020"
"VIC","232","Scullin","0","ABSENT","41540","FFPA","Family First Party Australia","BELL","Cassandra","2","40782","LP","Liberal Party of Australia (Victorian Division)","TAGGAR","Rohit","6","98","56.980"
"VIC","232","Scullin","0","ABSENT","41001","VNS","Victorian Socialists","HASSAN","Omar","3","40819","ALP","Australian Labor Party (Victorian Branch)","GILES","Andrew","7","163","79.900"
"VIC","232","Scullin","0","ABSENT","41001","VNS","Victorian Socialists","HASSAN","Omar","3","40782","LP","Liberal Party of Australia (Victorian Division)","TAGGAR","Rohit","6","41","20.100"
"VIC","232","Scullin","0","ABSENT","41605","ON","Pauline Hanson's One Nation","TSOUTSOULIS","Arthur","4","40819","ALP","Australian Labor Party (Victorian Branch)","GILES","Andrew","7","81","35.220"
"VIC","232","Scullin","0","ABSENT","41605","ON","Pauline Hanson's One Nation","TSOUTSOULIS","Arthur","4","40782","LP","Liberal Party of Australia (Victorian Division)","TAGGAR","Rohit","6","149","64.780"
"VIC","232","Scullin","0","ABSENT","41113","GVIC","The Australian Greens - Victoria","SANGARYA","Loki","5","40819","ALP","Australian Labor Party (Victorian Branch)","GILES","Andrew","7","468","83.420"
"VIC","232","Scullin","0","ABSENT","41113","GVIC","The Australian Greens - Victoria","SANGARYA","Loki","5","40782","LP","Liberal Party of Australia (Victorian Division)","TAGGAR","Rohit","6","93","16.580"
"VIC","232","Scullin","0","ABSENT","40987","GRPF","Gerard Rennick People First","van BREE","Ursula","8","40819","ALP","Australian Labor Party (Victorian Branch)","GILES","Andrew","7","37","41.570"
"VIC","232","Scullin","0","ABSENT","40987","GRPF","Gerard Rennick People First","van BREE","Ursula","8","40782","LP","Liberal Party of Australia (Victorian Division)","TAGGAR","Rohit","6","52","58.430"
"VIC","232","Scullin","0","POSTAL","0","","","First Preferences","","0","40819","ALP","Australian Labor Party (Victorian Branch)","GILES","Andrew","7","9679","68.990"
"VIC","232","Scullin","0","POSTAL","0","","","First Preferences","","0","40782","LP","Liberal Party of Australia (Victorian Division)","TAGGAR","Rohit","6","4351","31.010"
"VIC","232","Scullin","0","POSTAL","41392","CYA","Trumpet of Patriots","BUCCIANTI","Adriana","1","40819","ALP","Australian Labor Party (Victorian Branch)","GILES","Andrew","7","438","33.950"
"VIC","232","Scullin","0","POSTAL","41392","CYA","Trumpet of Patriots","BUCCIANTI","Adriana","1","40782","LP","Liberal Party of Australia (Victorian Division)","TAGGAR","Rohit","6","852","66.050"
"VIC","232","Scullin","0","POSTAL","41540","FFPA","Family First Party Australia","BELL","Cassandra","2","40819","ALP","Australian Labor Party (Victorian Branch)","GILES","Andrew","7","469","50.700"
"VIC","232","Scullin","0","POSTAL","41540","FFPA","Family First Party Australia","BELL","Cassandra","2","40782","LP","Liberal Party of Australia (Victorian Division)","TAGGAR","Rohit","6","456","49.300"
"VIC","232","Scullin","0","POSTAL","41001","VNS","Victorian Socialists","HASSAN","Omar","3","40819","ALP","Australian Labor Party (Victorian Branch)","GILES","Andrew","7","559","81.010"
"VIC","232","Scullin","0","POSTAL","41001","VNS","Victorian Socialists","HASSAN","Omar","3","40782","LP","Liberal Party of Australia (Victorian Division)","TAGGAR","Rohit","6","131","18.990"
"VIC","232","Scullin","0","POSTAL","41605","ON","Pauline Hanson's One Nation","TSOUTSOULIS","Arthur","4","40819","ALP","Australian Labor Party (Victorian Branch)","GILES","Andrew","7","505","33.380"
"VIC","232","Scullin","0","POSTAL","41605","ON","Pauline Hanson's One Nation","TSOUTSOULIS","Arthur","4","40782","LP","Liberal Party of Australia (Victorian Division)","TAGGAR","Rohit","6","1008","66.620"
