2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"WA","235","Brand","0","ABSENT","0","","","First Preferences","","0","41216","LP","Liberal Party (W.A. Division) Inc","MOODY","Claire","5","709","33.780"
"WA","235","Brand","0","ABSENT","0","","","First Preferences","","0","41243","ALP","Australian Labor Party (Western Australian Branch)","KING","Madeleine","3","1390","66.220"
"WA","235","Brand","0","ABSENT","41660","GRN","The Greens (WA) Inc","FREEMAN","Jody","1","41216","LP","Liberal Party (W.A. Division) Inc","MOODY","Claire","5","120","16.550"
"WA","235","Brand","0","ABSENT","41660","GRN","The Greens (WA) Inc","FREEMAN","Jody","1","41243","ALP","Australian Labor Party (Western Australian Branch)","KING","Madeleine","3","605","83.450"
"WA","235","Brand","0","ABSENT","41610","ON","Pauline Hanson's One Nation","BOX","Stephen","2","41216","LP","Liberal Party (W.A. Division) Inc","MOODY","Claire","5","428","68.590"
"WA","235","Brand","0","ABSENT","41610","ON","Pauline Hanson's One Nation","BOX","Stephen","2","41243","ALP","Australian Labor Party (Western Australian Branch)","KING","Madeleine","3","196","31.410"
"WA","235","Brand","0","ABSENT","41662","HMP","Legalise Cannabis Australia","MATTERS","Jim","4","41243","ALP","Australian Labor Party (Western Australian Branch)","KING","Madeleine","3","335","66.730"
"WA","235","Brand","0","ABSENT","41662","HMP","Legalise Cannabis Australia","MATTERS","Jim","4","41216","LP","Liberal Party (W.A. Division) Inc","MOODY","Claire","5","167","33.270"
"WA","235","Brand","0","POSTAL","0","","","First Preferences","","0","41216","LP","Liberal Party (W.A. Division) Inc","MOODY","Claire","5","2286","30.690"
"WA","235","Brand","0","POSTAL","0","","","First Preferences","","0","41243","ALP","Australian Labor Party (Western Australian Branch)","KING","Madeleine","3","5162","69.310"
"WA","235","Brand","0","POSTAL","41660","GRN","The Greens (WA) Inc","FREEMAN","Jody","1","41243","ALP","Australian Labor Party (Western Australian Branch)","KING","Madeleine","3","1059","87.520"
"WA","235","Brand","0","POSTAL","41660","GRN","The Greens (WA) Inc","FREEMAN","Jody","1","41216","LP","Liberal Party (W.A. Division) Inc","MOODY","Claire","5","151","12.480"
"WA","235","Brand","0","POSTAL","41610","ON","Pauline Hanson's One Nation","BOX","Stephen","2","41243","ALP","Australian Labor Party (Western Australian Branch)","KING","Madeleine","3","379","30.960"
"WA","235","Brand","0","POSTAL","41610","ON","Pauline Hanson's One Nation","BOX","Stephen","2","41216","LP","Liberal Party (W.A. Division) Inc","MOODY","Claire","5","845","69.040"
"WA","235","Brand","0","POSTAL","41662","HMP","Legalise Cannabis Australia","MATTERS","Jim","4","41243","ALP","Australian Labor Party (Western Australian Branch)","KING","Madeleine","3","440","65.190"
"WA","235","Brand","0","POSTAL","41662","HMP","Legalise Cannabis Australia","MATTERS","Jim","4","41216","LP","Liberal Party (W.A. Division) Inc","MOODY","Claire","5","235","34.810"
"WA","235","Brand","0","PRE_POLL","0","","","First Preferences","","0","41243","ALP","Australian Labor Party (Western Australian Branch)","KING","Madeleine","3","1353","65.110"
"WA","235","Brand","0","PRE_POLL","0","","","First Preferences","","0","41216","LP","Liberal Party (W.A. Division) Inc","MOODY","Claire","5","725","34.890"
"WA","235","Brand","0","PRE_POLL","41660","GRN","The Greens (WA) Inc","FREEMAN","Jody","1","41243","ALP","Australian Labor Party (Western Australian Branch)","KING","Madeleine","3","479","84.480"
"WA","235","Brand","0","PRE_POLL","41660","GRN","The Greens (WA) Inc","FREEMAN","Jody","1","41216","LP","Liberal Party (W.A. Division) Inc","MOODY","Claire","5","88","15.520"
"WA","235","Brand","0","PRE_POLL","41610","ON","Pauline Hanson's One Nation","BOX","Stephen","2","41243","ALP","Australian Labor Party (Western Australian Branch)","KING","Madeleine","3","172","31.560"
"WA","235","Brand","0","PRE_POLL","41610","ON","Pauline Hanson's One Nation","BOX","Stephen","2","41216","LP","Liberal Party (W.A. Division) Inc","MOODY","Claire","5","373","68.440"
"WA","235","Brand","0","PRE_POLL","41662","HMP","Legalise Cannabis Australia","MATTERS","Jim","4","41243","ALP","Australian Labor Party (Western Australian Branch)","KING","Madeleine","3","214","64.650"
"WA","235","Brand","0","PRE_POLL","41662","HMP","Legalise Cannabis Australia","MATTERS","Jim","4","41216","LP","Liberal Party (W.A. Division) Inc","MOODY","Claire","5","117","35.350"
"WA","235","Brand","0","PROVISIONAL","0","","","First Preferences","","0","41216","LP","Liberal Party (W.A. Division) Inc","MOODY","Claire","5","14","22.950"
"WA","235","Brand","0","PROVISIONAL","0","","","First Preferences","","0","41243","ALP","Australian Labor Party (Western Australian Branch)","KING","Madeleine","3","47","77.050"
"WA","235","Brand","0","PROVISIONAL","41660","GRN","The Greens (WA) Inc","FREEMAN","Jody","1","41243","ALP","Australian Labor Party (Western Australian Branch)","KING","Madeleine","3","8","88.890"
