2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"WA","329","Bullwinkel","0","ABSENT","0","","","First Preferences","","0","41223","LP","Liberal Party (W.A. Division) Inc","MORAN","Matt","4","1044","42.220"
"WA","329","Bullwinkel","0","ABSENT","0","","","First Preferences","","0","41248","ALP","Australian Labor Party (Western Australian Branch)","COOK","Trish","5","1429","57.780"
"WA","329","Bullwinkel","0","ABSENT","41647","ON","Pauline Hanson's One Nation","MAYES","Trevor","1","41223","LP","Liberal Party (W.A. Division) Inc","MORAN","Matt","4","457","74.310"
"WA","329","Bullwinkel","0","ABSENT","41647","ON","Pauline Hanson's One Nation","MAYES","Trevor","1","41248","ALP","Australian Labor Party (Western Australian Branch)","COOK","Trish","5","158","25.690"
"WA","329","Bullwinkel","0","ABSENT","41078","AUC","Australian Christians","HOLTEN","Les","2","41248","ALP","Australian Labor Party (Western Australian Branch)","COOK","Trish","5","46","23.230"
"WA","329","Bullwinkel","0","ABSENT","41078","AUC","Australian Christians","HOLTEN","Les","2","41223","LP","Liberal Party (W.A. Division) Inc","MORAN","Matt","4","152","76.770"
"WA","329","Bullwinkel","0","ABSENT","41720","HMP","Legalise Cannabis Australia","YOUNG","Penelope Rose","3","41223","LP","Liberal Party (W.A. Division) Inc","MORAN","Matt","4","216","39.130"
"WA","329","Bullwinkel","0","ABSENT","41720","HMP","Legalise Cannabis Australia","YOUNG","Penelope Rose","3","41248","ALP","Australian Labor Party (Western Australian Branch)","COOK","Trish","5","336","60.870"
"WA","329","Bullwinkel","0","ABSENT","41756","NP","National Party of Australia (WA) Inc","DAVIES","Mia","6","41248","ALP","Australian Labor Party (Western Australian Branch)","COOK","Trish","5","125","24.800"
"WA","329","Bullwinkel","0","ABSENT","41756","NP","National Party of Australia (WA) Inc","DAVIES","Mia","6","41223","LP","Liberal Party (W.A. Division) Inc","MORAN","Matt","4","379","75.200"
"WA","329","Bullwinkel","0","ABSENT","41719","GRN","The Greens (WA) Inc","BISHOP","Abbey","7","41248","ALP","Australian Labor Party (Western Australian Branch)","COOK","Trish","5","721","86.040"
"WA","329","Bullwinkel","0","ABSENT","41719","GRN","The Greens (WA) Inc","BISHOP","Abbey","7","41223","LP","Liberal Party (W.A. Division) Inc","MORAN","Matt","4","117","13.960"
"WA","329","Bullwinkel","0","POSTAL","0","","","First Preferences","","0","41223","LP","Liberal Party (W.A. Division) Inc","MORAN","Matt","4","4352","45.470"
"WA","329","Bullwinkel","0","POSTAL","0","","","First Preferences","","0","41248","ALP","Australian Labor Party (Western Australian Branch)","COOK","Trish","5","5220","54.530"
"WA","329","Bullwinkel","0","POSTAL","41647","ON","Pauline Hanson's One Nation","MAYES","Trevor","1","41248","ALP","Australian Labor Party (Western Australian Branch)","COOK","Trish","5","344","24.170"
"WA","329","Bullwinkel","0","POSTAL","41647","ON","Pauline Hanson's One Nation","MAYES","Trevor","1","41223","LP","Liberal Party (W.A. Division) Inc","MORAN","Matt","4","1079","75.830"
"WA","329","Bullwinkel","0","POSTAL","41078","AUC","Australian Christians","HOLTEN","Les","2","41248","ALP","Australian Labor Party (Western Australian Branch)","COOK","Trish","5","79","20.900"
"WA","329","Bullwinkel","0","POSTAL","41078","AUC","Australian Christians","HOLTEN","Les","2","41223","LP","Liberal Party (W.A. Division) Inc","MORAN","Matt","4","299","79.100"
"WA","329","Bullwinkel","0","POSTAL","41720","HMP","Legalise Cannabis Australia","YOUNG","Penelope Rose","3","41248","ALP","Australian Labor Party (Western Australian Branch)","COOK","Trish","5","371","60.520"
"WA","329","Bullwinkel","0","POSTAL","41720","HMP","Legalise Cannabis Australia","YOUNG","Penelope Rose","3","41223","LP","Liberal Party (W.A. Division) Inc","MORAN","Matt","4","242","39.480"
