2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"WA","312","Durack","0","ABSENT","0","","","First Preferences","","0","41363","ALP","Australian Labor Party (Western Australian Branch)","WHEATLAND","Karen","7","709","40.420"
"WA","312","Durack","0","ABSENT","0","","","First Preferences","","0","41247","LP","Liberal Party (W.A. Division) Inc","PRICE","Melissa","1","1045","59.580"
"WA","312","Durack","0","ABSENT","41743","HMP","Legalise Cannabis Australia","WRIGHT","Kat","2","41363","ALP","Australian Labor Party (Western Australian Branch)","WHEATLAND","Karen","7","151","51.190"
"WA","312","Durack","0","ABSENT","41743","HMP","Legalise Cannabis Australia","WRIGHT","Kat","2","41247","LP","Liberal Party (W.A. Division) Inc","PRICE","Melissa","1","144","48.810"
"WA","312","Durack","0","ABSENT","41848","NP","National Party of Australia (WA) Inc","KEMPTON","Bailey","3","41247","LP","Liberal Party (W.A. Division) Inc","PRICE","Melissa","1","333","86.950"
"WA","312","Durack","0","ABSENT","41848","NP","National Party of Australia (WA) Inc","KEMPTON","Bailey","3","41363","ALP","Australian Labor Party (Western Australian Branch)","WHEATLAND","Karen","7","50","13.050"
"WA","312","Durack","0","ABSENT","41659","ON","Pauline Hanson's One Nation","BERRY","Mark","4","41363","ALP","Australian Labor Party (Western Australian Branch)","WHEATLAND","Karen","7","69","20.910"
"WA","312","Durack","0","ABSENT","41659","ON","Pauline Hanson's One Nation","BERRY","Mark","4","41247","LP","Liberal Party (W.A. Division) Inc","PRICE","Melissa","1","261","79.090"
"WA","312","Durack","0","ABSENT","42081","IAP","Indigenous - Aboriginal Party of Australia","HUNTER","Jason","5","41247","LP","Liberal Party (W.A. Division) Inc","PRICE","Melissa","1","35","34.650"
"WA","312","Durack","0","ABSENT","42081","IAP","Indigenous - Aboriginal Party of Australia","HUNTER","Jason","5","41363","ALP","Australian Labor Party (Western Australian Branch)","WHEATLAND","Karen","7","66","65.350"
"WA","312","Durack","0","ABSENT","41651","CYA","Trumpet of Patriots","KORNAAT","Maarten","6","41363","ALP","Australian Labor Party (Western Australian Branch)","WHEATLAND","Karen","7","19","24.680"
"WA","312","Durack","0","ABSENT","41651","CYA","Trumpet of Patriots","KORNAAT","Maarten","6","41247","LP","Liberal Party (W.A. Division) Inc","PRICE","Melissa","1","58","75.320"
"WA","312","Durack","0","ABSENT","41758","GRN","The Greens (WA) Inc","STURCKE","Brendan","8","41247","LP","Liberal Party (W.A. Division) Inc","PRICE","Melissa","1","72","17.960"
"WA","312","Durack","0","ABSENT","41758","GRN","The Greens (WA) Inc","STURCKE","Brendan","8","41363","ALP","Australian Labor Party (Western Australian Branch)","WHEATLAND","Karen","7","329","82.040"
"WA","312","Durack","0","ABSENT","41200","AUC","Australian Christians","HARRIS","Eugenie Margaret","9","41247","LP","Liberal Party (W.A. Division) Inc","PRICE","Melissa","1","62","77.500"
"WA","312","Durack","0","ABSENT","41200","AUC","Australian Christians","HARRIS","Eugenie Margaret","9","41363","ALP","Australian Labor Party (Western Australian Branch)","WHEATLAND","Karen","7","18","22.500"
"WA","312","Durack","0","POSTAL","0","","","First Preferences","","0","41363","ALP","Australian Labor Party (Western Australian Branch)","WHEATLAND","Karen","7","1697","33.200"
"WA","312","Durack","0","POSTAL","0","","","First Preferences","","0","41247","LP","Liberal Party (W.A. Division) Inc","PRICE","Melissa","1","3414","66.800"
"WA","312","Durack","0","POSTAL","41743","HMP","Legalise Cannabis Australia","WRIGHT","Kat","2","41247","LP","Liberal Party (W.A. Division) Inc","PRICE","Melissa","1","144","41.030"
"WA","312","Durack","0","POSTAL","41743","HMP","Legalise Cannabis Australia","WRIGHT","Kat","2","41363","ALP","Australian Labor Party (Western Australian Branch)","WHEATLAND","Karen","7","207","58.970"
"WA","312","Durack","0","POSTAL","41848","NP","National Party of Australia (WA) Inc","KEMPTON","Bailey","3","41247","LP","Liberal Party (W.A. Division) Inc","PRICE","Melissa","1","1380","86.740"
"WA","312","Durack","0","POSTAL","41848","NP","National Party of Australia (WA) Inc","KEMPTON","Bailey","3","41363","ALP","Australian Labor Party (Western Australian Branch)","WHEATLAND","Karen","7","211","13.260"
"WA","312","Durack","0","POSTAL","41659","ON","Pauline Hanson's One Nation","BERRY","Mark","4","41247","LP","Liberal Party (W.A. Division) Inc","PRICE","Melissa","1","834","80.420"
"WA","312","Durack","0","POSTAL","41659","ON","Pauline Hanson's One Nation","BERRY","Mark","4","41363","ALP","Australian Labor Party (Western Australian Branch)","WHEATLAND","Karen","7","203","19.580"
"WA","312","Durack","0","POSTAL","42081","IAP","Indigenous - Aboriginal Party of Australia","HUNTER","Jason","5","41363","ALP","Australian Labor Party (Western Australian Branch)","WHEATLAND","Karen","7","61","66.300"
