2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"WA","240","Fremantle","0","ABSENT","0","","","First Preferences","","0","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","1332","58.120"
"WA","240","Fremantle","0","ABSENT","0","","","First Preferences","","0","42074","IND","Independent","HULETT","Kate","1","960","41.880"
"WA","240","Fremantle","0","ABSENT","41841","CEC","Australian Citizens Party","BIRD","John Alexander","2","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","15","31.250"
"WA","240","Fremantle","0","ABSENT","41841","CEC","Australian Citizens Party","BIRD","John Alexander","2","42074","IND","Independent","HULETT","Kate","1","33","68.750"
"WA","240","Fremantle","0","ABSENT","41789","GRN","The Greens (WA) Inc","WARNE","Amy","4","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","498","56.660"
"WA","240","Fremantle","0","ABSENT","41789","GRN","The Greens (WA) Inc","WARNE","Amy","4","42074","IND","Independent","HULETT","Kate","1","381","43.340"
"WA","240","Fremantle","0","ABSENT","41256","LP","Liberal Party (W.A. Division) Inc","MARSTON","Tait","5","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","275","29.290"
"WA","240","Fremantle","0","ABSENT","41256","LP","Liberal Party (W.A. Division) Inc","MARSTON","Tait","5","42074","IND","Independent","HULETT","Kate","1","664","70.710"
"WA","240","Fremantle","0","ABSENT","41708","ON","Pauline Hanson's One Nation","MARRINER","Hannah","6","42074","IND","Independent","HULETT","Kate","1","318","79.900"
"WA","240","Fremantle","0","ABSENT","41708","ON","Pauline Hanson's One Nation","MARRINER","Hannah","6","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","80","20.100"
"WA","240","Fremantle","0","ABSENT","40671","SAL","Socialist Alliance","LAST","Joshua","7","42074","IND","Independent","HULETT","Kate","1","29","56.860"
"WA","240","Fremantle","0","ABSENT","40671","SAL","Socialist Alliance","LAST","Joshua","7","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","22","43.140"
"WA","240","Fremantle","0","POSTAL","0","","","First Preferences","","0","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","4471","69.360"
"WA","240","Fremantle","0","POSTAL","0","","","First Preferences","","0","42074","IND","Independent","HULETT","Kate","1","1975","30.640"
"WA","240","Fremantle","0","POSTAL","41841","CEC","Australian Citizens Party","BIRD","John Alexander","2","42074","IND","Independent","HULETT","Kate","1","60","80.000"
"WA","240","Fremantle","0","POSTAL","41841","CEC","Australian Citizens Party","BIRD","John Alexander","2","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","15","20.000"
"WA","240","Fremantle","0","POSTAL","41789","GRN","The Greens (WA) Inc","WARNE","Amy","4","42074","IND","Independent","HULETT","Kate","1","489","49.700"
"WA","240","Fremantle","0","POSTAL","41789","GRN","The Greens (WA) Inc","WARNE","Amy","4","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","495","50.300"
"WA","240","Fremantle","0","POSTAL","41256","LP","Liberal Party (W.A. Division) Inc","MARSTON","Tait","5","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","578","24.480"
"WA","240","Fremantle","0","POSTAL","41256","LP","Liberal Party (W.A. Division) Inc","MARSTON","Tait","5","42074","IND","Independent","HULETT","Kate","1","1783","75.520"
"WA","240","Fremantle","0","POSTAL","41708","ON","Pauline Hanson's One Nation","MARRINER","Hannah","6","42074","IND","Independent","HULETT","Kate","1","536","74.760"
"WA","240","Fremantle","0","POSTAL","41708","ON","Pauline Hanson's One Nation","MARRINER","Hannah","6","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","181","25.240"
"WA","240","Fremantle","0","POSTAL","40671","SAL","Socialist Alliance","LAST","Joshua","7","42074","IND","Independent","HULETT","Kate","1","53","58.240"
"WA","240","Fremantle","0","POSTAL","40671","SAL","Socialist Alliance","LAST","Joshua","7","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","38","41.760"
"WA","240","Fremantle","0","PRE_POLL","0","","","First Preferences","","0","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","1339","63.550"
"WA","240","Fremantle","0","PRE_POLL","0","","","First Preferences","","0","42074","IND","Independent","HULETT","Kate","1","768","36.450"
"WA","240","Fremantle","0","PRE_POLL","41841","CEC","Australian Citizens Party","BIRD","John Alexander","2","42074","IND","Independent","HULETT","Kate","1","26","74.290"
"WA","240","Fremantle","0","PRE_POLL","41841","CEC","Australian Citizens Party","BIRD","John Alexander","2","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","9","25.710"
"WA","240","Fremantle","0","PRE_POLL","41789","GRN","The Greens (WA) Inc","WARNE","Amy","4","42074","IND","Independent","HULETT","Kate","1","263","41.750"
"WA","240","Fremantle","0","PRE_POLL","41789","GRN","The Greens (WA) Inc","WARNE","Amy","4","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","367","58.250"
"WA","240","Fremantle","0","PRE_POLL","41256","LP","Liberal Party (W.A. Division) Inc","MARSTON","Tait","5","42074","IND","Independent","HULETT","Kate","1","662","71.410"
"WA","240","Fremantle","0","PRE_POLL","41256","LP","Liberal Party (W.A. Division) Inc","MARSTON","Tait","5","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","265","28.590"
"WA","240","Fremantle","0","PRE_POLL","41708","ON","Pauline Hanson's One Nation","MARRINER","Hannah","6","42074","IND","Independent","HULETT","Kate","1","230","76.410"
"WA","240","Fremantle","0","PRE_POLL","41708","ON","Pauline Hanson's One Nation","MARRINER","Hannah","6","41377","ALP","Australian Labor Party (Western Australian Branch)","WILSON","Josh","3","71","23.590"
