2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"WA","244","Pearce","0","ABSENT","0","","","First Preferences","","0","41439","ALP","Australian Labor Party (Western Australian Branch)","ROBERTS","Tracey","5","1362","59.290"
"WA","244","Pearce","0","ABSENT","0","","","First Preferences","","0","41531","LP","Liberal Party (W.A. Division) Inc","NORBERGER","Jan","4","935","40.710"
"WA","244","Pearce","0","ABSENT","41819","GRN","The Greens (WA) Inc","D'ALONZO","Nicholas","1","41531","LP","Liberal Party (W.A. Division) Inc","NORBERGER","Jan","4","187","23.030"
"WA","244","Pearce","0","ABSENT","41819","GRN","The Greens (WA) Inc","D'ALONZO","Nicholas","1","41439","ALP","Australian Labor Party (Western Australian Branch)","ROBERTS","Tracey","5","625","76.970"
"WA","244","Pearce","0","ABSENT","41764","HMP","Legalise Cannabis Australia","GRANADOS RANGEL","Ramon","2","41531","LP","Liberal Party (W.A. Division) Inc","NORBERGER","Jan","4","233","48.950"
"WA","244","Pearce","0","ABSENT","41764","HMP","Legalise Cannabis Australia","GRANADOS RANGEL","Ramon","2","41439","ALP","Australian Labor Party (Western Australian Branch)","ROBERTS","Tracey","5","243","51.050"
"WA","244","Pearce","0","ABSENT","41130","AUC","Australian Christians","MONTGOMERY","Vanessa","3","41531","LP","Liberal Party (W.A. Division) Inc","NORBERGER","Jan","4","109","72.670"
"WA","244","Pearce","0","ABSENT","41130","AUC","Australian Christians","MONTGOMERY","Vanessa","3","41439","ALP","Australian Labor Party (Western Australian Branch)","ROBERTS","Tracey","5","41","27.330"
"WA","244","Pearce","0","ABSENT","41723","ON","Pauline Hanson's One Nation","BURTON","John","6","41439","ALP","Australian Labor Party (Western Australian Branch)","ROBERTS","Tracey","5","129","28.040"
"WA","244","Pearce","0","ABSENT","41723","ON","Pauline Hanson's One Nation","BURTON","John","6","41531","LP","Liberal Party (W.A. Division) Inc","NORBERGER","Jan","4","331","71.960"
"WA","244","Pearce","0","POSTAL","0","","","First Preferences","","0","41439","ALP","Australian Labor Party (Western Australian Branch)","ROBERTS","Tracey","5","5449","57.400"
"WA","244","Pearce","0","POSTAL","0","","","First Preferences","","0","41531","LP","Liberal Party (W.A. Division) Inc","NORBERGER","Jan","4","4044","42.600"
"WA","244","Pearce","0","POSTAL","41819","GRN","The Greens (WA) Inc","D'ALONZO","Nicholas","1","41531","LP","Liberal Party (W.A. Division) Inc","NORBERGER","Jan","4","264","18.870"
"WA","244","Pearce","0","POSTAL","41819","GRN","The Greens (WA) Inc","D'ALONZO","Nicholas","1","41439","ALP","Australian Labor Party (Western Australian Branch)","ROBERTS","Tracey","5","1135","81.130"
"WA","244","Pearce","0","POSTAL","41764","HMP","Legalise Cannabis Australia","GRANADOS RANGEL","Ramon","2","41531","LP","Liberal Party (W.A. Division) Inc","NORBERGER","Jan","4","313","45.170"
"WA","244","Pearce","0","POSTAL","41764","HMP","Legalise Cannabis Australia","GRANADOS RANGEL","Ramon","2","41439","ALP","Australian Labor Party (Western Australian Branch)","ROBERTS","Tracey","5","380","54.830"
"WA","244","Pearce","0","POSTAL","41130","AUC","Australian Christians","MONTGOMERY","Vanessa","3","41531","LP","Liberal Party (W.A. Division) Inc","NORBERGER","Jan","4","308","79.180"
"WA","244","Pearce","0","POSTAL","41130","AUC","Australian Christians","MONTGOMERY","Vanessa","3","41439","ALP","Australian Labor Party (Western Australian Branch)","ROBERTS","Tracey","5","81","20.820"
"WA","244","Pearce","0","POSTAL","41723","ON","Pauline Hanson's One Nation","BURTON","John","6","41531","LP","Liberal Party (W.A. Division) Inc","NORBERGER","Jan","4","1008","73.580"
"WA","244","Pearce","0","POSTAL","41723","ON","Pauline Hanson's One Nation","BURTON","John","6","41439","ALP","Australian Labor Party (Western Australian Branch)","ROBERTS","Tracey","5","362","26.420"
"WA","244","Pearce","0","PRE_POLL","0","","","First Preferences","","0","41439","ALP","Australian Labor Party (Western Australian Branch)","ROBERTS","Tracey","5","975","56.290"
"WA","244","Pearce","0","PRE_POLL","0","","","First Preferences","","0","41531","LP","Liberal Party (W.A. Division) Inc","NORBERGER","Jan","4","757","43.710"
