2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"WA","245","Perth","0","ABSENT","0","","","First Preferences","","0","41541","LP","Liberal Party (W.A. Division) Inc","PANAIA","Susanna","2","1414","38.870"
"WA","245","Perth","0","ABSENT","0","","","First Preferences","","0","41446","ALP","Australian Labor Party (Western Australian Branch)","GORMAN","Patrick","4","2224","61.130"
"WA","245","Perth","0","ABSENT","41725","ON","Pauline Hanson's One Nation","HALLIFAX","Peter","1","41541","LP","Liberal Party (W.A. Division) Inc","PANAIA","Susanna","2","427","75.840"
"WA","245","Perth","0","ABSENT","41725","ON","Pauline Hanson's One Nation","HALLIFAX","Peter","1","41446","ALP","Australian Labor Party (Western Australian Branch)","GORMAN","Patrick","4","136","24.160"
"WA","245","Perth","0","ABSENT","41823","GRN","The Greens (WA) Inc","GREER","Sophie","3","41446","ALP","Australian Labor Party (Western Australian Branch)","GORMAN","Patrick","4","1604","86.330"
"WA","245","Perth","0","ABSENT","41823","GRN","The Greens (WA) Inc","GREER","Sophie","3","41541","LP","Liberal Party (W.A. Division) Inc","PANAIA","Susanna","2","254","13.670"
"WA","245","Perth","0","POSTAL","0","","","First Preferences","","0","41541","LP","Liberal Party (W.A. Division) Inc","PANAIA","Susanna","2","3301","40.840"
"WA","245","Perth","0","POSTAL","0","","","First Preferences","","0","41446","ALP","Australian Labor Party (Western Australian Branch)","GORMAN","Patrick","4","4782","59.160"
"WA","245","Perth","0","POSTAL","41725","ON","Pauline Hanson's One Nation","HALLIFAX","Peter","1","41446","ALP","Australian Labor Party (Western Australian Branch)","GORMAN","Patrick","4","154","21.910"
"WA","245","Perth","0","POSTAL","41725","ON","Pauline Hanson's One Nation","HALLIFAX","Peter","1","41541","LP","Liberal Party (W.A. Division) Inc","PANAIA","Susanna","2","549","78.090"
"WA","245","Perth","0","POSTAL","41823","GRN","The Greens (WA) Inc","GREER","Sophie","3","41446","ALP","Australian Labor Party (Western Australian Branch)","GORMAN","Patrick","4","1782","88.260"
"WA","245","Perth","0","POSTAL","41823","GRN","The Greens (WA) Inc","GREER","Sophie","3","41541","LP","Liberal Party (W.A. Division) Inc","PANAIA","Susanna","2","237","11.740"
"WA","245","Perth","0","PRE_POLL","0","","","First Preferences","","0","41446","ALP","Australian Labor Party (Western Australian Branch)","GORMAN","Patrick","4","1829","60.930"
"WA","245","Perth","0","PRE_POLL","0","","","First Preferences","","0","41541","LP","Liberal Party (W.A. Division) Inc","PANAIA","Susanna","2","1173","39.070"
"WA","245","Perth","0","PRE_POLL","41725","ON","Pauline Hanson's One Nation","HALLIFAX","Peter","1","41446","ALP","Australian Labor Party (Western Australian Branch)","GORMAN","Patrick","4","83","22.490"
"WA","245","Perth","0","PRE_POLL","41725","ON","Pauline Hanson's One Nation","HALLIFAX","Peter","1","41541","LP","Liberal Party (W.A. Division) Inc","PANAIA","Susanna","2","286","77.510"
"WA","245","Perth","0","PRE_POLL","41823","GRN","The Greens (WA) Inc","GREER","Sophie","3","41446","ALP","Australian Labor Party (Western Australian Branch)","GORMAN","Patrick","4","1073","89.270"
"WA","245","Perth","0","PRE_POLL","41823","GRN","The Greens (WA) Inc","GREER","Sophie","3","41541","LP","Liberal Party (W.A. Division) Inc","PANAIA","Susanna","2","129","10.730"
