2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"WA","248","Tangney","0","ABSENT","0","","","First Preferences","","0","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","1384","59.150"
"WA","248","Tangney","0","ABSENT","0","","","First Preferences","","0","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","956","40.850"
"WA","248","Tangney","0","ABSENT","41834","GRN","The Greens (WA) Inc","HAYWARD","Eric","1","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","784","83.400"
"WA","248","Tangney","0","ABSENT","41834","GRN","The Greens (WA) Inc","HAYWARD","Eric","1","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","156","16.600"
"WA","248","Tangney","0","ABSENT","41780","HMP","Legalise Cannabis Australia","LESLIE","Phillip Raymond","3","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","199","60.120"
"WA","248","Tangney","0","ABSENT","41780","HMP","Legalise Cannabis Australia","LESLIE","Phillip Raymond","3","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","132","39.880"
"WA","248","Tangney","0","ABSENT","41736","ON","Pauline Hanson's One Nation","KEFALINOS","Steve","4","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","184","74.490"
"WA","248","Tangney","0","ABSENT","41736","ON","Pauline Hanson's One Nation","KEFALINOS","Steve","4","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","63","25.510"
"WA","248","Tangney","0","ABSENT","41193","AUC","Australian Christians","RAI","James","6","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","97","68.790"
"WA","248","Tangney","0","ABSENT","41193","AUC","Australian Christians","RAI","James","6","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","44","31.210"
"WA","248","Tangney","0","POSTAL","0","","","First Preferences","","0","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","6062","53.890"
"WA","248","Tangney","0","POSTAL","0","","","First Preferences","","0","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","5187","46.110"
"WA","248","Tangney","0","POSTAL","41834","GRN","The Greens (WA) Inc","HAYWARD","Eric","1","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","240","17.470"
"WA","248","Tangney","0","POSTAL","41834","GRN","The Greens (WA) Inc","HAYWARD","Eric","1","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","1134","82.530"
"WA","248","Tangney","0","POSTAL","41780","HMP","Legalise Cannabis Australia","LESLIE","Phillip Raymond","3","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","145","39.940"
"WA","248","Tangney","0","POSTAL","41780","HMP","Legalise Cannabis Australia","LESLIE","Phillip Raymond","3","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","218","60.060"
"WA","248","Tangney","0","POSTAL","41736","ON","Pauline Hanson's One Nation","KEFALINOS","Steve","4","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","467","76.310"
"WA","248","Tangney","0","POSTAL","41736","ON","Pauline Hanson's One Nation","KEFALINOS","Steve","4","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","145","23.690"
"WA","248","Tangney","0","POSTAL","41193","AUC","Australian Christians","RAI","James","6","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","293","69.930"
"WA","248","Tangney","0","POSTAL","41193","AUC","Australian Christians","RAI","James","6","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","126","30.070"
"WA","248","Tangney","0","PRE_POLL","0","","","First Preferences","","0","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","1536","53.280"
"WA","248","Tangney","0","PRE_POLL","0","","","First Preferences","","0","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","1347","46.720"
"WA","248","Tangney","0","PRE_POLL","41834","GRN","The Greens (WA) Inc","HAYWARD","Eric","1","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","89","13.610"
"WA","248","Tangney","0","PRE_POLL","41834","GRN","The Greens (WA) Inc","HAYWARD","Eric","1","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","565","86.390"
"WA","248","Tangney","0","PRE_POLL","41780","HMP","Legalise Cannabis Australia","LESLIE","Phillip Raymond","3","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","74","51.750"
"WA","248","Tangney","0","PRE_POLL","41780","HMP","Legalise Cannabis Australia","LESLIE","Phillip Raymond","3","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","69","48.250"
"WA","248","Tangney","0","PRE_POLL","41736","ON","Pauline Hanson's One Nation","KEFALINOS","Steve","4","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","173","80.090"
"WA","248","Tangney","0","PRE_POLL","41736","ON","Pauline Hanson's One Nation","KEFALINOS","Steve","4","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","43","19.910"
"WA","248","Tangney","0","PRE_POLL","41193","AUC","Australian Christians","RAI","James","6","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","68","68.690"
"WA","248","Tangney","0","PRE_POLL","41193","AUC","Australian Christians","RAI","James","6","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","31","31.310"
"WA","248","Tangney","0","PROVISIONAL","0","","","First Preferences","","0","41470","ALP","Australian Labor Party (Western Australian Branch)","LIM","Sam","5","50","60.240"
"WA","248","Tangney","0","PROVISIONAL","0","","","First Preferences","","0","41590","LP","Liberal Party (W.A. Division) Inc","ONG","Howard","2","33","39.760"
