"Religious affiliation of recent migrants(a)"
"Religious affiliation","Number of migrants","Proportion of migrants"
"Christianity","290,200","28.4%"
"Other religions","414,900","40.7%"
"No religious affiliation","290,700","28.5%"
"Not stated","20,700","2.0%"
"Total(b)","1,020,000","100.0%"

"a. Arrived in Australia from 2017 to 10 August 2021."
"b. Includes inadequately described."
"Source: Religious affiliation (RELP), Country of birth of person (BPLP)."

"Source: Australian Bureau of Statistics, Religious affiliation in Australia 4/07/2022"
